Altium Designer Pick and Place Locations
C:\Documents\Altium\SM_Project\QUANTUM\Grand Mini “≈Õÿ.467883.002\ECAD\HW\Project Outputs for GrandMini_v1\GrandMini_v1_rev.1.0_P&P 2025-05-28 16-25\GrandMini_v1_rev.1.0_Pick&Place 2025-05-28 16-25.csv

========================================================================================================================
File Design Information:

Date:       28.05.25
Time:       16:25
Revision:   5b1f842b2bc13d764b445b58a385a9a2edc76148
Variant:    release
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Layer","Comment","Description"
"C1","CAP_0402_1005","44.8000","67.7000","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C2","CAP_0402_1005","44.8000","58.7000","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C3","CAP_0402_1005","44.8000","50.0000","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C5","CAP_0402_1005","44.6000","40.5000","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C6","CAP_0402_1005","73.9000","44.4000","0","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C7","CAP_0402_1005","73.9000","43.3000","0","TopLayer","1 µF","CAP CER 1UF 10V X5R 0402"
"C8","CAP_0402_1005","49.1000","29.3000","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C9","CAP_0402_1005","74.0000","48.2500","0","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C10","CAP_0402_1005","86.5000","48.7000","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C11","CAP_0402_1005","83.1000","39.4000","90","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C12","CAP_0402_1005","77.2500","52.2500","270","TopLayer","1 µF","CAP CER 1UF 10V X5R 0402"
"C13","CAP_0603_1608","86.2000","50.0000","180","TopLayer","10 uF","CAP CER 10UF 10V X5R 0603"
"C15","CAP_0402_1005","44.8000","32.0000","270","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C18","CAP_0402_1005","71.5000","44.0000","0","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C19","CAP_1206_3216_-_0.8MM","47.2000","68.1000","270","TopLayer","22 µF","CAP CER 22UF 16V X7R 1206"
"C20","CAP_1206_3216_-_0.8MM","50.2000","68.1000","270","TopLayer","22 µF","CAP CER 22UF 16V X7R 1206"
"C21","CAP_0402_1005","59.7500","66.7500","0","TopLayer","470 pF","CAP CER 470PF 16V X7R 0402"
"C22","CAP_0603_1608","62.7500","63.5000","180","TopLayer","22 µF","CAP CER 22UF 6.3V X5R 0603"
"C23","CAP_0603_1608","62.7500","61.5000","180","TopLayer","22 µF","CAP CER 22UF 6.3V X5R 0603"
"C24","CAP_0402_1005","62.5000","66.7500","180","TopLayer","2.2 µF","CAP CER 2.2UF 6.3V X5R 0402"
"C25","CAP_0402_1005","62.5000","65.0000","180","TopLayer","2.2 µF","CAP CER 2.2UF 6.3V X5R 0402"
"C26","CAP_1206_3216_-_0.8MM","54.7500","66.2500","0","TopLayer","22 µF","CAP CER 22UF 16V X7R 1206"
"C27","CAP_0402_1005","71.0000","66.5000","0","TopLayer","470 pF","CAP CER 470PF 16V X7R 0402"
"C28","CAP_0603_1608","74.0000","61.5000","180","TopLayer","22 µF","CAP CER 22UF 6.3V X5R 0603"
"C29","CAP_0603_1608","74.0000","63.2500","180","TopLayer","22 µF","CAP CER 22UF 6.3V X5R 0603"
"C30","CAP_0402_1005","73.7500","65.0000","180","TopLayer","2.2 µF","CAP CER 2.2UF 6.3V X5R 0402"
"C31","CAP_0402_1005","73.7500","66.5000","180","TopLayer","2.2 µF","CAP CER 2.2UF 6.3V X5R 0402"
"C32","CAP_1206_3216_-_0.8MM","66.2500","66.2500","0","TopLayer","22 µF","CAP CER 22UF 16V X7R 1206"
"C33","CAP_0402_1005","81.7500","66.5000","0","TopLayer","470 pF","CAP CER 470PF 16V X7R 0402"
"C34","CAP_0603_1608","84.7500","61.5000","180","TopLayer","22 µF","CAP CER 22UF 6.3V X5R 0603"
"C35","CAP_0603_1608","84.7500","63.2500","180","TopLayer","22 µF","CAP CER 22UF 6.3V X5R 0603"
"C36","CAP_0402_1005","84.5000","65.0000","180","TopLayer","2.2 µF","CAP CER 2.2UF 6.3V X5R 0402"
"C37","CAP_0402_1005","84.5000","66.5000","180","TopLayer","2.2 µF","CAP CER 2.2UF 6.3V X5R 0402"
"C38","CAP_1206_3216_-_0.8MM","77.0000","66.2500","0","TopLayer","22 µF","CAP CER 22UF 16V X7R 1206"
"C39","CAP_0402_1005","74.0000","53.0000","180","TopLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C40","CAP_0402_1005","57.7000","48.8000","270","BottomLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C41","CAP_0402_1005","56.7000","48.8000","270","BottomLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C42","CAP_0603_1608","58.8500","49.3500","270","BottomLayer","10 uF","CAP CER 10UF 10V X5R 0603"
"C43","CAP_0402_1005","58.8500","46.8500","270","BottomLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C44","CAP_0402_1005","55.2000","47.7000","0","BottomLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C45","CAP_0402_1005","55.2000","46.7000","0","BottomLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C46","CAP_0402_1005","58.8500","41.4500","90","BottomLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C47","CAP_0402_1005","61.4371","41.1520","90","BottomLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C48","CAP_0402_1005","58.8500","43.3500","270","BottomLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C49","CAP_0402_1005","61.2000","48.7000","270","BottomLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C50","CAP_0402_1005","60.0000","48.7000","270","BottomLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C51","CAP_0402_1005","62.7000","46.4000","180","BottomLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C52","CAP_0402_1005","62.7000","45.4000","180","BottomLayer","0.1 µF","CAP CER 0.1UF 16V X7R 0402"
"C53","CAP_0603_1608","63.0250","44.0500","180","BottomLayer","10 uF","CAP CER 10UF 10V X5R 0603"
