Altium Designer Pick and Place Locations
C:\Documents\Altium\SM_Project\QUANTUM\Grand Mini ÒÅÍØ.467883.02\ECAD\HW\Output\GrandMini_v1_P&P 2025-07-08 17-44\GrandMini_v1_rev.1.0_P&P 2025-07-08 17-44.txt

========================================================================================================================
File Design Information:

Date:       08.07.25
Time:       17:44
Revision:   d6f1f4a144ae892e1c9073a215a772ab27efcab7
Variant:    release
Units used: mm

Designator Footprint                           Center-X(mm) Center-Y(mm) Rotation Layer    Comment                    Description                                                                                   
BT1        KLS5CR203204                        102.5000     109.8500     180      TopLayer "CR2032 Holder"            "Battery Holder, Vertical, CR2032"                                                            
C1         CAP_0603_1608                       51.1000      69.3000      270      TopLayer "1 µF"                     "CAP CER 1UF 50V X7R 0603"                                                                    
C2         CAP_0603_1608                       52.6000      69.3000      270      TopLayer "0.1 µF"                   "CAP CER 0.1UF 50V X7R 0603"                                                                  
C3         CAP_0805_2012                       135.3500     38.7000      90       TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C4         CAP_0603_1608                       133.0500     38.8000      90       TopLayer "0.1 µF"                   "CAP CER 0.1UF 50V X7R 0603"                                                                  
C5         CAP_0603_1608                       133.0000     49.2500      270      TopLayer "0.1 µF"                   "CAP CER 0.1UF 50V X7R 0603"                                                                  
C6         CAP_0805_2012                       135.2500     49.3500      270      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C7         CAP_0603_1608                       56.5000      19.0000      270      TopLayer "0.1 µF"                   "CAP CER 0.1UF 50V X7R 0603"                                                                  
C8         CAP_0603_1608                       50.9000      19.0000      270      TopLayer "0.1 µF"                   "CAP CER 0.1UF 50V X7R 0603"                                                                  
C9         CAP_0805_2012                       114.0000     81.5000      270      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C10        CAP_0805_2012                       116.5000     81.5000      270      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C11        CAP_POL_2917_7343                   120.5000     83.5000      90       TopLayer "47 µF"                    "CAP TANT 47UF 10% 35V 2917"                                                                  
C12        CAP_0603_1608                       29.5000      37.5000      180      TopLayer "0.1 µF"                   "CAP CER 0.1UF 50V X7R 0603"                                                                  
C13        CAP_ALSMD_8.3MM_H10.5MM             148.0000     52.0000      0        TopLayer "100 µF"                   "CAP ALUM 100UF 20% 35V SMD"                                                                  
C14        CAP_ALSMD_8.3MM_H10.5MM             148.0000     43.0000      0        TopLayer "100 µF"                   "CAP ALUM 100UF 20% 35V SMD"                                                                  
C15        CAP_0603_1608                       144.7500     24.7500      0        TopLayer "10000 pF"                 "CAP CER 10000PF 50V X7R 0603"                                                                
C16        CAP_0805_2012                       143.5000     13.5000      180      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C17        CAP_0805_2012                       143.5000     15.7500      180      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C18        CAP_0805_2012                       138.5000     15.7500      0        TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C19        CAP_0805_2012                       138.5000     13.5000      0        TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C20        CAP_POL_2917_7343                   135.7500     9.5000       180      TopLayer "47 µF"                    "CAP TANT 47UF 10% 35V 2917"                                                                  
C21        CAP_POL_2917_7343                   145.5000     9.5000       0        TopLayer "47 µF"                    "CAP TANT 47UF 10% 35V 2917"                                                                  
C22        CAP_0805_2012                       151.5000     35.0000      180      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C23        CAP_0805_2012                       151.5000     33.0000      180      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C24        CAP_0805_2012                       148.0000     35.0000      0        TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C25        CAP_0805_2012                       148.0000     33.0000      0        TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C26        CAP_0603_1608                       151.5000     31.0000      180      TopLayer "1 µF"                     "CAP CER 1UF 50V X7R 0603"                                                                    
C27        CAP_0603_1608                       148.5000     31.0000      0        TopLayer "0.1 µF"                   "CAP CER 0.1UF 50V X7R 0603"                                                                  
C28        CAP_0603_1608                       159.5000     24.5000      270      TopLayer "10000 pF"                 "CAP CER 10000PF 50V X7R 0603"                                                                
C29        CAP_0805_2012                       153.5000     20.0000      0        TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C30        CAP_0805_2012                       153.5000     17.5000      0        TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C31        CAP_0805_2012                       158.6000     17.5000      180      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C32        CAP_0805_2012                       158.6000     20.0000      180      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C33        CAP_POL_2917_7343                   153.0000     11.0000      270      TopLayer "47 µF"                    "CAP TANT 47UF 10% 35V 2917"                                                                  
C34        CAP_POL_2917_7343                   158.5000     11.0000      270      TopLayer "47 µF"                    "CAP TANT 47UF 10% 35V 2917"                                                                  
C35        CAP_0805_2012                       161.5000     34.0000      0        TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C36        CAP_0805_2012                       161.5000     31.5000      0        TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C37        CAP_0805_2012                       165.0000     31.5000      180      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C38        CAP_0805_2012                       165.0000     34.0000      180      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C39        CAP_0603_1608                       161.5000     29.5000      0        TopLayer "1 µF"                     "CAP CER 1UF 50V X7R 0603"                                                                    
C40        CAP_0603_1608                       164.8250     29.5000      180      TopLayer "0.1 µF"                   "CAP CER 0.1UF 50V X7R 0603"                                                                  
C41        CAP_0603_1608                       174.2500     24.5000      270      TopLayer "10000 pF"                 "CAP CER 10000PF 50V X7R 0603"                                                                
C42        CAP_0805_2012                       173.2500     20.0000      180      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C43        CAP_0805_2012                       173.2500     17.5000      180      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C44        CAP_0805_2012                       168.0000     20.0000      0        TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C45        CAP_0805_2012                       168.0000     17.5000      0        TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C46        CAP_POL_2917_7343                   164.0000     11.0000      270      TopLayer "47 µF"                    "CAP TANT 47UF 10% 35V 2917"                                                                  
C47        CAP_POL_2917_7343                   169.5000     11.0000      270      TopLayer "47 µF"                    "CAP TANT 47UF 10% 35V 2917"                                                                  
C48        CAP_0805_2012                       179.7500     34.0000      180      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C49        CAP_0805_2012                       179.7500     31.5000      180      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C50        CAP_0805_2012                       176.2500     34.0000      0        TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C51        CAP_0805_2012                       176.2500     31.5000      0        TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C52        CAP_0603_1608                       179.2500     29.5000      180      TopLayer "1 µF"                     "CAP CER 1UF 50V X7R 0603"                                                                    
C53        CAP_0603_1608                       176.2500     29.5000      0        TopLayer "0.1 µF"                   "CAP CER 0.1UF 50V X7R 0603"                                                                  
C54        CAP_0603_1608                       68.3000      18.3000      180      TopLayer "0.1 µF"                   "CAP CER 0.1UF 50V X7R 0603"                                                                  
C55        CAP_0805_2012                       105.0000     19.1750      180      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C56        CAP_POL_2917_7343                   100.0000     11.9750      270      TopLayer "47 µF"                    "CAP TANT 47UF 10% 35V 2917"                                                                  
C57        CAP_0805_2012                       106.0000     15.9750      270      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C58        CAP_0805_2012                       104.0000     15.9750      270      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C59        CAP_0805_2012                       106.0000     11.9750      90       TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C60        CAP_0805_2012                       104.0000     11.9750      90       TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
C61        CAP_0603_1608                       81.6250      11.4500      180      TopLayer "27 pF"                    "CAP CER 27PF 100V C0G/NPO 0603"                                                              
C62        CAP_0603_1608                       78.8000      11.4500      0        TopLayer "27 pF"                    "CAP CER 27PF 100V C0G/NPO 0603"                                                              
C63        CAP_0805_2012                       93.0000      27.0000      180      TopLayer "10 µF"                    "CAP CER 10UF 25V X5R 0805"                                                                   
