Altium Designer Pick and Place Locations
C:\Users\julianstj\Desktop\WorkNotes\Projects\PTP\WiWi\Newracom\ECAD\Project Outputs for Newracom-WiWi\Pick Place for Newracom_WIWi_V1.csv

========================================================================================================================
File Design Information:

Date:       18/03/24
Time:       15:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C39","0.1uF_16V_0402","BottomLayer","FP-C0402-BB-MFG","1264.707","1779.454","90","CAP CER 0.1UF 16V 5% X7R 0402"
"R126","8.06K_1%_0402","BottomLayer","RESC1005X40X25ML05T05","359.115","1023.854","90","Chip Resistor, 8.06 KOhm, +/- 1%, 63 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R125","DNI_0_5%_0402","BottomLayer","RESC1005X40X25NL05T10","406.020","931.347","270",""
"R124","0_5%_0402","BottomLayer","RESC1005X40X25NL05T10","542.826","976.428","0",""
"R123","DNI_0_5%_0402","BottomLayer","RESC1005X40X25NL05T10","276.249","872.976","180",""
"R122","0_5%_0402","BottomLayer","RESC1005X40X25NL05T10","356.299","912.029","180",""
"R121","0_5%_0402","BottomLayer","RESC1005X40X25NL05T10","437.511","845.646","0",""
"R120","330_1%_0402","TopLayer","RESC1005X40X25NL10T10","67.754","1176.383","0",""
"R119","45.3K_1%_0402","TopLayer","RESC0402(1005)_L","307.526","1036.452","270","45K3 0.063W 1% 0402 (1005 Metric)  SMD"
"R118","10K_1%_0402","TopLayer","RESC1005X40X25NL10T10","259.587","1018.190","0",""
"L16","DFE252012PD-R47M=P2","TopLayer","FP-DFE252012C-IPC_A","378.899","1141.941","180","Shielded Wirewound Inductor 0.47uH 20% 4000mA 0.027O 1008 (2520)"
"D8","LTST-C190GKT","TopLayer","FP-LTST-C190GKT-MFG","113.230","1132.785","0","LED GREEN CLEAR CHIP SMD"
"C141","22uF_10V_0603","TopLayer","CAPC1608X100X20ML10","216.535","826.772","270","Chip Capacitor, 22 uF, +/- 20%, 10 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"C139","22uF_10V_0603","TopLayer","CAPC1608X100X20ML10","251.221","1200.101","270","Chip Capacitor, 22 uF, +/- 20%, 10 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"C138","10uF_10V_0402","TopLayer","FP-CL05A106MP5NUNC-MFG","162.184","829.242","90","CAP CER 10UF 10V X5R 0402"
"C137","10uF_10V_0402","TopLayer","FP-CL05A106MP5NUNC-MFG","110.428","828.240","90","CAP CER 10UF 10V X5R 0402"
"C136","7.2pF_50V_0201","TopLayer","FP-GRM033-0_03-IPC_B","1718.994","4612.634","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 7.2pF, C0G, 30ppm/°C, 0.1pF, 50V"
"C135","7.2pF_50V_0201","TopLayer","FP-GRM033-0_03-IPC_B","1110.658","4610.228","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 7.2pF, C0G, 30ppm/°C, 0.1pF, 50V"
"R92","DNI_4.7K_5%_0402","BottomLayer","RESC1005X40X25LL05T05","1893.701","2102.362","0",""
"R91","DNI_4.7K_5%_0402","BottomLayer","RESC1005X40X25LL05T05","1810.524","1953.650","270",""
"R90","DNI_4.7K_5%_0402","BottomLayer","RESC1005X40X25LL05T05","1687.008","1956.890","270",""
"R83","4.7K_5%_0402","BottomLayer","RESC1005X40X25LL05T05","1893.700","2068.908","180",""
