Altium Designer Pick and Place Locations
C:\Users\julianstj\Desktop\WorkNotes\Projects\PTP\CheapPTM\I225\ECAD\Project Outputs for MiniPTM\Pick Place for MiniPTM.csv

========================================================================================================================
File Design Information:

Date:       27/08/23
Time:       10:32
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R103","DNI_0_1%_0402","TopLayer","RESC1005X40X25LL05T05","2593.134","-2534.291","0","Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R158","DNI_4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","1017.689","-2329.037","180",""
"R157","DNI_100_1%_0402","TopLayer","RESC1005X40X25NL05T10","1671.074","-2459.204","180",""
"R155","100_1%_0402","TopLayer","RESC1005X40X25NL05T10","1655.297","-2277.570","180",""
"R154","4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","1016.745","-2559.213","0",""
"R153","4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","1014.745","-2517.716","0",""
"R152","4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","1012.808","-2476.378","0",""
"R151","4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","1013.753","-2429.134","0",""
"R150","4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","1014.745","-2385.827","0",""
"R149","4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","1021.626","-2251.684","0",""
"R148","4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","1016.745","-2293.968","0",""
"R145","DNI_4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","1024.496","-1767.716","180",""
"R144","DNI_100_1%_0402","TopLayer","RESC1005X40X25NL05T10","1624.803","-1940.944","90",""
"R143","100_1%_0402","TopLayer","RESC1005X40X25NL05T10","1624.803","-1751.968","90",""
"R141","4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","1014.745","-1993.148","0",""
"R140","4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","1016.623","-1950.786","0",""
"R138","4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","1016.623","-1909.449","0",""
"P7","TSW-104-08-L-S","TopLayer","SMTC-TSW-104-08-X-S","3881.890","-3364.961","90","0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 4-Pin, Male, RoHS"
"P6","U.FL-R-SMT(01)","TopLayer","HRS-U.FL-R-SMT(10)_V","3216.535","-3384.941","270","CONN RECPT ULTRA-MINI COAX SMD"
"P5","U.FL-R-SMT(01)","TopLayer","HRS-U.FL-R-SMT(10)_V","3484.252","-3384.941","270","CONN RECPT ULTRA-MINI COAX SMD"
"FB9","BLM18KG221SN1D","BottomLayer","FP-BLM18-0_15-t0_8-IPC_B","1319.934","-2493.026","0","Chip Ferrite Bead, 0603, 220O @ 100MHz, 0.05O, 25%, 2.2A"
"FB8","BLM18KG221SN1D","BottomLayer","FP-BLM18-0_15-t0_8-IPC_B","1320.255","-2367.126","0","Chip Ferrite Bead, 0603, 220O @ 100MHz, 0.05O, 25%, 2.2A"
"FB7","BLM18KG221SN1D","BottomLayer","FP-BLM18-0_15-t0_8-IPC_B","1376.476","-1914.538","0","Chip Ferrite Bead, 0603, 220O @ 100MHz, 0.05O, 25%, 2.2A"
"FB6","BLM18KG221SN1D","BottomLayer","FP-BLM18-0_15-t0_8-IPC_B","1361.560","-1726.941","0","Chip Ferrite Bead, 0603, 220O @ 100MHz, 0.05O, 25%, 2.2A"
"D5","8240136","TopLayer","SOT143-4L","3346.265","-3252.760","0","TVS Diode WE-TVS-HS, VRWM=3.3V"
"C225","0.1uF_25V_0402","BottomLayer","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","1446.580","-2425.093","0","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"C224","4.7uF_10V_0603","BottomLayer","CAPC1608X87X35NL15T15","1448.759","-2559.055","90",""
"C223","10uF_6.3V_0603","BottomLayer","FP-C0603C106M9PACTU-MFG","1451.298","-2476.378","0","CAP CER 10UF 6.3V X5R 0603"
