Altium Designer Pick and Place Locations
C:\Users\user\Documents\GitHub\QUANTUM\Incubation\Hardware\Time4CM4\Project Outputs for Time4CM4_PCIeCarrier\Pick Place for Time4CM4_PCIeCarrier_PCB.csv

========================================================================================================================
File Design Information:

Date:       23.09.24
Time:       19:13
Revision:   e7b9c2e23a3056579164fc7f7308e146c97af61c
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R67","DNP 0 ohm","TopLayer","FP-CRCW0603-HPe3-MFG","91.8750","47.0250","0","RES Thick Film, 0?, , 0.33W, , 0603"
"R66","0 ohm","TopLayer","FP-CRCW0603-HPe3-MFG","91.8750","45.4250","0","RES Thick Film, 0?, , 0.33W, , 0603"
"J5","GSB412137CHR","TopLayer","AMPHENOL_GSB412137CHR","53.0000","60.0000","180","USB-A _USB TYPE-A_ USB 3.1 _USB 3.1 Gen 2, Superspeed+_ Receptacle Connector 9 Position Through Hole"
"C79","100nF","TopLayer","FP-GRM15-MFG","39.5000","59.0000","270","CAP CER 0.1UF 16V X7R 0402"
"C78","100nF","TopLayer","FP-GRM15-MFG","40.2500","59.0000","270","CAP CER 0.1UF 16V X7R 0402"
"U18","AP2112K-1.8TRG1","TopLayer","SOT95P285X140-5N","72.4000","16.7000","180","Integrated Circuit"
"U4","RT9742SNGV","BottomLayer","SOT95P279X130-3N","8.0500","11.9000","180","Integrated Circuit"
"S1","DHN-08-T-V","TopLayer","DHN08TV","82.2000","13.8000","180","Switch"
"C81","1uF","TopLayer","FP-CC0805-0_85-MFG","71.2000","13.0000","270","CAP CER 1UF 10V X7R 0805"
"C80","1uF","TopLayer","FP-CC0805-0_85-MFG","73.4000","13.0000","270","CAP CER 1UF 10V X7R 0805"
"C48","100nF","BottomLayer","FP-GRM15-MFG","10.9500","12.8000","90","CAP CER 0.1UF 16V X7R 0402"
"C24","100nF","BottomLayer","FP-GRM15-MFG","10.9500","11.3000","270","CAP CER 0.1UF 16V X7R 0402"
"J2","46765-1001","TopLayer","FP-46765-1001-MFG","4.9375","16.5000","270","CONN RCP MICRO HDMI 19POS SMD RA"
"J6","MK-TCF-BSX-026","TopLayer","MK-TCF-BSX-026","13.3500","31.4750","270",""
"C8","100nF","TopLayer","FP-GRM15-MFG","37.0750","46.5250","270","CAP CER 0.1UF 16V X7R 0402"
"C71","10uf","BottomLayer","FP-GRM188-0_2-IPC_C","32.7000","25.0000","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 35V"
"C22","100nF","TopLayer","FP-GRM15-MFG","30.8500","51.9000","0","CAP CER 0.1UF 16V X7R 0402"
"C21","100nF","TopLayer","FP-GRM15-MFG","30.8500","52.7000","0","CAP CER 0.1UF 16V X7R 0402"
"U5","VL805","TopLayer","VL805","36.8750","52.9000","0",""
"U17","AT93C46DN-SH-T","TopLayer","FP-C04-057-SN-MFG","31.8000","24.6350","0","IC EEPROM 1K SPI 2MHZ 8SOIC"
"U16","XR17V352IB113-F","TopLayer","BGA113C80P11X11_900X900X153","40.5000","32.9000","90","Integrated Circuit"
"R65","4.7K","BottomLayer","RESC1005X40X25LL05T05","51.7000","33.5000","180","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R64","4.7K","BottomLayer","RESC1005X40X25LL05T05","51.7000","32.4000","0","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R63","4.7K","BottomLayer","RESC1005X40X25LL05T05","51.7000","31.3000","0","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R62","4.7K","BottomLayer","RESC1005X40X25LL05T05","51.7000","35.7000","0","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R61","4.7K","BottomLayer","RESC1005X40X25LL05T05","51.7000","34.6000","0","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
