Altium Designer Pick and Place Locations
C:\Users\julianstj\Desktop\WorkNotes\Projects\PTP\WiWi\SDR\ECAD\Project Outputs for WiWi_SDR\Pick Place for WiWi_SDR_V1(845-XXXXX_PCBA_projectname).txt

========================================================================================================================
File Design Information:

Date:       11/07/24
Time:       09:28
Revision:   Not in VersionControl
Variant:    845-XXXXX_PCBA_projectname
Units used: mil

Designator Comment                      Layer       Footprint                                Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                              
C208       DNI_10uF_25V_0603            BottomLayer FP-CL10-IPC_C                            1338.583      2075.866      270      "Cap Ceramic 10uF 25V X5R ±20% Pad SMD 0603 +85°C T/R"                                                                                                   
R150       0_5%_0402                    TopLayer    RESC1005X40X25NL05T10                    1413.386      2157.480      90       ""                                                                                                                                                       
R149       4.7K_1%_0402                 BottomLayer RESC1005X40X25NL10T10                    1196.850      2122.047      0        ""                                                                                                                                                       
R148       4.7K_1%_0402                 BottomLayer RESC1005X40X25NL10T10                    1196.850      2078.740      0        ""                                                                                                                                                       
P8         U.FL-R-SMT-1(01)             TopLayer    HRS-U.FL-R-SMT-3_V                       1736.220      3194.390      0        "Ultra Small Coaxial Connector, 6 GHz, -40 to 90 degC, 3-Pin SMD, RoHS, Bulk"                                                                            
P7         U.FL-R-SMT-1(01)             TopLayer    HRS-U.FL-R-SMT-3_V                       1875.285      3067.417      270      "Ultra Small Coaxial Connector, 6 GHz, -40 to 90 degC, 3-Pin SMD, RoHS, Bulk"                                                                            
U28        SL2.1A                       TopLayer    IC_SL2.1A                                1249.079      1263.583      270      "USB 2.0 HIGH SPEED 4-PORT HUB CONTROLLER"                                                                                                               
C204       22pF_50V_0402                TopLayer    CAPC1005X55X25ML05T05                    1448.819      1375.583      90       "Chip Capacitor, 22 pF, +/- 5%, 50 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                          
C203       22pF_50V_0402                TopLayer    CAPC1005X55X25ML05T05                    1263.779      1570.866      180      "Chip Capacitor, 22 pF, +/- 5%, 50 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                          
Y5         ABM8G-12.000MHZ-18-D2Y-T     TopLayer    FP-ABM8G-MFG                             1397.638      1574.803      270      "Crystal 12MHz ±20ppm (Tol) ±30ppm (Stability) 18pF FUND 120? 4-Pin SMD T/R"                                                                             
U27        4259-63                      TopLayer    PERE-SC-70-6_M                           736.221       3078.740      270      "IC RF Switch SPDT, 50 Ohm, 6-Pin SC70, RoHS, Tape and Reel"                                                                                             
U26        4259-63                      TopLayer    PERE-SC-70-6_M                           1323.466      2888.366      90       "IC RF Switch SPDT, 50 Ohm, 6-Pin SC70, RoHS, Tape and Reel"                                                                                             
R147       49.9_1%_0402                 TopLayer    RESC1005X40X25NL10T10                    700.787       3208.661      90       ""                                                                                                                                                       
R146       100K_1%_0402                 BottomLayer RESC1005X40X25ML05T10                    716.535       3043.307      0        ""                                                                                                                                                       
R145       49.9_1%_0402                 TopLayer    RESC1005X40X25NL10T10                    1361.073      2751.968      270      ""                                                                                                                                                       
R144       100K_1%_0402                 BottomLayer RESC1005X40X25ML05T10                    1349.056      2933.071      180      ""                                                                                                                                                       
C207       10uF_16V_0603                BottomLayer FP-0603-L_1_6_0_2-W_0_8_0-MFG            1385.827      1173.228      270      "Multilayer Ceramic Capacitor 10uF 16V X5R 20% SMD 0603 T/R"                                                                                             
C206       10uF_16V_0603                BottomLayer FP-0603-L_1_6_0_2-W_0_8_0-MFG            1385.827      1283.465      270      "Multilayer Ceramic Capacitor 10uF 16V X5R 20% SMD 0603 T/R"                                                                                             
C205       10uF_16V_0603                BottomLayer FP-0603-L_1_6_0_2-W_0_8_0-MFG            1497.299      1281.830      270      "Multilayer Ceramic Capacitor 10uF 16V X5R 20% SMD 0603 T/R"                                                                                             
C202       0.1uF_16V_0402               BottomLayer FP-C0402-BB-MFG                          787.402       3015.748      270      "CAP CER 0.1UF 16V 5% X7R 0402"                                                                                                                          
C201       0.1uF_16V_0402               BottomLayer FP-C0402-BB-MFG                          1275.591      2948.819      90       "CAP CER 0.1UF 16V 5% X7R 0402"                                                                                                                          
U25        W25Q128JVSIQ                 BottomLayer IC_W25Q128JVSIQ                          1751.968      2456.693      0        "NOR Flash Serial (SPI, Dual SPI, Quad SPI) 3.3V 128M-bit 16M x 8 6ns 8-Pin SOIC Tube"                                                                   
Y3         ABS05W-32.768KHZ-K-2-T       BottomLayer FP-ABS05W-MFG                            1854.331      2661.417      270      "Crystal 32.768kHz ±20ppm (Tol) 4pF 85k? 2-Pin SMD T/R"                                                                                                  
R143       0_5%_0402                    TopLayer    RESC1005X40X25NL05T10                    1712.598      3086.614      270      ""                                                                                                                                                       
R142       DNI_10K_1%_0402              TopLayer    RESC1005X40X25NL10T10                    1909.449      2889.764      270      ""                                                                                                                                                       
R141       10K_1%_0402                  BottomLayer RESC1005X40X25NL10T10                    1909.449      2796.204      90       ""                                                                                                                                                       
R140       DNI_10K_1%_0402              BottomLayer RESC1005X40X25NL10T10                    1956.693      2796.204      90       ""                                                                                                                                                       
R139       10K_1%_0402                  TopLayer    RESC1005X40X25NL10T10                    1960.630      2889.764      270      ""                                                                                                                                                       
R138       10K_1%_0402                  TopLayer    RESC1005X40X25NL10T10                    1956.693      2796.204      270      ""                                                                                                                                                       
R137       10K_1%_0402                  BottomLayer RESC1005X40X25NL10T10                    1909.449      2889.764      90       ""                                                                                                                                                       
R136       DNI_10K_1%_0402              TopLayer    RESC1005X40X25NL10T10                    1909.449      2796.204      270      ""                                                                                                                                                       
R135       DNI_10K_1%_0402              BottomLayer RESC1005X40X25NL10T10                    1960.630      2889.764      90       ""                                                                                                                                                       
R134       0_5%_0402                    TopLayer    RESC1005X40X25NL05T10                    1901.575      2531.693      180      ""                                                                                                                                                       
R133       0_5%_0402                    BottomLayer RESC1005X40X25NL05T10                    1496.063      2401.575      180      ""                                                                                                                                                       
R132       0_5%_0402                    BottomLayer RESC1005X40X25NL05T10                    1948.819      2610.236      90       ""                                                                                                                                                       
R131       0_5%_0402                    TopLayer    RESC1005X40X25NL05T10                    1594.488      2574.803      0        ""                                                                                                                                                       
R130       0_5%_0402                    TopLayer    RESC1005X40X25NL05T10                    1893.701      2582.677      180      ""                                                                                                                                                       
R129       0_5%_0402                    TopLayer    RESC1005X40X25NL05T10                    1780.010      2606.299      0        ""                                                                                                                                                       
R128       0_5%_0402                    TopLayer    RESC1005X40X25NL05T10                    1780.010      2568.668      0        ""                                                                                                                                                       
R127       0_5%_0402                    TopLayer    RESC1005X40X25NL05T10                    1665.354      3086.614      270      ""                                                                                                                                                       
R125       DNI_10K_1%_0402              TopLayer    RESC1005X40X25NL10T10                    1674.429      2585.216      180      ""                                                                                                                                                       
R123       10K_1%_0402                  BottomLayer RESC1005X40X25NL10T10                    1429.134      2881.890      180      ""                                                                                                                                                       
R122       10K_1%_0402                  BottomLayer RESC1005X40X25NL10T10                    1559.055      2874.016      0        ""                                                                                                                                                       
C200       22pF_0402                    BottomLayer CAPC1005X55X25ML05T05                    1904.528      2622.047      270      "Chip Capacitor, 22 pF, +/- 5%, 50 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                          
C199       22pF_0402                    BottomLayer CAPC1005X55X25ML05T05                    1799.213      2700.787      270      "Chip Capacitor, 22 pF, +/- 5%, 50 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                          
C198       10pF_0402                    BottomLayer CAPC1005X55X25ML05T05                    1602.362      3070.866      270      "Chip Capacitor, 10 pF, +/- 5%, 50 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                          
C197       1uF_16V_0402                 BottomLayer FP-0402-L_1_0_0_05-W_0_5-IPC_A           1377.953      2996.063      90       None                                                                                                                                                     
C196       1uF_16V_0402                 BottomLayer FP-0402-L_1_0_0_05-W_0_5-IPC_A           1559.055      2830.709      0        None                                                                                                                                                     
C195       1uF_16V_0402                 BottomLayer FP-0402-L_1_0_0_05-W_0_5-IPC_A           996.275       3421.260      270      None                                                                                                                                                     
U24        ESP32-S3                     TopLayer    IC_ESP32-S3                              1677.165      2812.992      0        "IC RF TxRx + MCU Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 2.412GHz ~ 2.484GHz 56-VFQFN Exposed Pad"                                                  
U11        AS4C4M16S-6BIN               TopLayer    TFBGA-54_8X8_ALL                         705.442       1003.742      270      "No Description Available"                                                                                                                               
U10        TPD4EUSB30DQAR               BottomLayer DQA0010A_V                               1345.768      700.787       0        "ESD Solution for Super-Speed (6 GBPS) USB 3.0 Interface, 4 Channels, -40 to +85 degC, 10-pin SON (DQA), Green (RoHS & no Sb/Br)"                        
SW4        B3U-1000P                    TopLayer    FP-B3U-1000P-MFG                         1736.220      2452.756      90       "SWITCH TACTILE SPST-NO 0.05A 12V"                                                                                                                       
SW3        B3U-1000P                    TopLayer    FP-B3U-1000P-MFG                         1606.299      2452.756      90       "SWITCH TACTILE SPST-NO 0.05A 12V"                                                                                                                       
R126       DNI_0_5%_0402                BottomLayer RESC1005X40X25NL05T10                    1582.677      3133.858      0        ""                                                                                                                                                       
R124       0_5%_0402                    BottomLayer RESC1005X40X25NL05T10                    1618.110      3177.165      180      ""                                                                                                                                                       
R121       220_1%_0402                  BottomLayer RESC1005X40X25LL10T10                    1680.129      371.340       90       ""                                                                                                                                                       
R120       220_1%_0402                  BottomLayer RESC1005X40X25LL10T10                    1874.016      381.890       90       ""                                                                                                                                                       
R119       220_1%_0402                  BottomLayer RESC1005X40X25LL10T10                    1775.591      787.402       270      ""                                                                                                                                                       
R118       1.8K_1%_0402                 BottomLayer RESC1005X40X25LL05T05                    1708.661      771.654       180      ""                                                                                                                                                       
R117       12.1K_1%_0402                BottomLayer RESC1005X40X25ML05T10                    1003.937      724.409       270      ""                                                                                                                                                       
R116       10K_1%_0402                  BottomLayer RESC1005X40X25NL10T10                    1795.276      397.638       0        ""                                                                                                                                                       
R115       0_5%_0402                    BottomLayer RESC1005X40X25NL05T10                    677.165       429.134       0        ""                                                                                                                                                       
R114       0_5%_0402                    BottomLayer RESC1005X40X25NL05T10                    877.953       304.134       90       ""                                                                                                                                                       
R113       10K_1%_0402                  BottomLayer RESC1005X40X25NL10T10                    844.492       495.824       270      ""                                                                                                                                                       
R112       49.9_1%_0402                 BottomLayer RESC1005X40X25NL10T10                    1110.236      401.575       90       ""                                                                                                                                                       
R111       49.9_1%_0402                 BottomLayer RESC1005X40X25NL10T10                    1066.929      397.638       90       ""                                                                                                                                                       
R110       49.9_1%_0402                 BottomLayer RESC1005X40X25NL10T10                    1055.205      575.787       270      ""                                                                                                                                                       
R109       49.9_1%_0402                 BottomLayer RESC1005X40X25NL10T10                    1106.299      559.055       270      ""                                                                                                                                                       
R108       100K_1%_0402                 BottomLayer RESC1005X40X25ML05T10                    925.197       299.213       270      ""                                                                                                                                                       
R78        100K_1%_0402                 BottomLayer RESC1005X40X25ML05T10                    342.520       1496.063      270      ""                                                                                                                                                       
R44        10K_1%_0402                  BottomLayer RESC1005X40X25NL10T10                    393.701       1330.709      270      ""                                                                                                                                                       
R43        49.9_1%_0402                 BottomLayer RESC1005X40X25NL10T10                    1876.148      2188.976      90       ""                                                                                                                                                       
R19        0_5%_0402                    TopLayer    RESC1005X40X25NL05T10                    708.661       2772.497      0        ""                                                                                                                                                       
R18        102K_1%_0402                 BottomLayer RESC1005X40X25ML05T10                    818.152       2655.273      180      ""                                                                                                                                                       
J6         L829-1J1T-43                 TopLayer    BELS-L829-1J1T-43_V                      1522.716      576.693       270      "Gigabit MagJack(R) Ultra Low Profile, 10/100/1000 Base-T, 19-Pin THD, RoHS, Tray"                                                                       
J3         73251-1350                   TopLayer    FP-73251-1350-MFG                        464.567       3323.583      180      "CONN SMA JACK STR 50 OHM SMD"                                                                                                                           
FL2        0896BM15E0025E               TopLayer    FP-0896BM15E0025E-MFG                    883.268       3133.858      0        "BALUN 863MHZ-928MHZ 50/50 0805"                                                                                                                         
FL1        PD2328J5050S2HF              TopLayer    FP-PD2328J5050S2HF-MFG                   1425.197      3086.614      0        "RF POWER DVDR 2.3GHZ-2.8GHZ 0805"                                                                                                                       
FB3        DNI_742792641                TopLayer    FP-742792641-MFG                         1225.168      2706.155      0        "FERRITE BEAD 300 OHM 0603 1LN"                                                                                                                          
