Drill Listing
=============
Drill: .00984  Tool: 1  Feed: 0  Speed: 0
X 52460  Y 248818
X 50098  Y 251574
X 46751  Y 252755
X 50000  Y 254822
X 50393  Y 257677
X 25787  Y 267618
X 42125  Y 269685
X 47834  Y 269881
X 37598  Y 270472
X 47834  Y 272834
X 24015  Y 273129
X 50393  Y 274409
X 62204  Y 242519
X 68799  Y 242519
X 76181  Y 242519
X 73031  Y 242519
X 85629  Y 242519
X 80807  Y 242519
X 61023  Y 230610
X 87007  Y 224409
X 128740  Y 123720
X 128543  Y 150098
X 120669  Y 150098
X 124606  Y 150098
X 128543  Y 154035
X 124606  Y 154035
X 124606  Y 157972
X 128543  Y 161909
X 128346  Y 214271
X 128346  Y 217716
X 128346  Y 220472
X 128346  Y 223622
X 128346  Y 226377
X 128346  Y 229527
X 128346  Y 232283
X 128346  Y 235433
X 128346  Y 238188
X 128346  Y 241338
X 128346  Y 244094
X 128346  Y 247244
X 128346  Y 249999
X 128346  Y 253149
X 128346  Y 255905
X 128346  Y 259055
X 128346  Y 261811
X 128346  Y 264960
X 128346  Y 267716
X 128346  Y 270866
X 128346  Y 273622
X 128346  Y 276771
X 128346  Y 279527
X 128346  Y 282677
X 128346  Y 285433
X 128346  Y 288582
X 128346  Y 291338
X 128346  Y 294488
X 128346  Y 297244
X 141338  Y 298818
X 141338  Y 292913
X 141338  Y 287007
X 141338  Y 281102
X 141338  Y 275196
X 141338  Y 269291
X 141338  Y 263385
X 141338  Y 257480
X 141338  Y 251574
X 141338  Y 245669
X 141338  Y 239763
X 141338  Y 233858
X 141338  Y 227952
X 141338  Y 222047
X 132480  Y 161909
X 176377  Y 63582
X 168503  Y 107578
X 168503  Y 135433
X 171259  Y 186515
X 155314  Y 214173
X 159842  Y 217716
X 159842  Y 220472
X 159842  Y 229527
X 159842  Y 232283
X 155118  Y 235433
X 155118  Y 238188
X 159842  Y 241338
X 159842  Y 244094
X 155118  Y 247244
X 155118  Y 249999
X 159842  Y 253149
X 159842  Y 255905
X 155118  Y 259055
X 155118  Y 261811
X 159842  Y 264960
X 159842  Y 267716
X 155118  Y 270866
X 155118  Y 273622
X 159842  Y 276771
X 159842  Y 279527
X 155118  Y 282677
X 155118  Y 285433
X 159842  Y 288582
X 159842  Y 291338
X 155118  Y 294488
X 155118  Y 297244
X 194488  Y 311023
X 194094  Y 166732
X 198031  Y 166732
X 201968  Y 166732
X 198031  Y 162795
X 201968  Y 162795
X 198031  Y 158858
X 190157  Y 158858
X 190157  Y 154921
X 194094  Y 154921
X 198031  Y 154921
X 201968  Y 154921
X 194094  Y 150984
X 190157  Y 150984
X 190157  Y 147047
X 194094  Y 147047
X 185629  Y 145078
X 198031  Y 143110
X 194094  Y 143110
X 190157  Y 143110
X 194094  Y 139173
X 190157  Y 139173
X 201968  Y 135236
X 194094  Y 135236
X 190157  Y 135236
X 190157  Y 131299
X 194094  Y 131299
X 194094  Y 127362
X 190157  Y 127362
X 198031  Y 123425
X 194094  Y 123425
X 190157  Y 123425
X 198031  Y 119488
X 194094  Y 119488
X 190157  Y 119488
X 190157  Y 115551
X 201968  Y 115551
X 194094  Y 111614
X 190157  Y 107677
X 198031  Y 107677
X 194094  Y 107677
X 194094  Y 103740
X 190157  Y 103740
X 194094  Y 99803
X 190157  Y 99803
X 190157  Y 95866
X 198031  Y 95767
X 190157  Y 91929
X 201968  Y 91929
X 198031  Y 91929
X 198031  Y 87992
X 194094  Y 87992
X 190157  Y 87992
X 194094  Y 84055
X 198031  Y 84055
X 201968  Y 80118
X 198031  Y 80118
X 194094  Y 80118
X 198031  Y 76181
X 201968  Y 76181
X 194094  Y 76181
X 190157  Y 72244
X 194094  Y 72244
X 201968  Y 72244
X 198031  Y 72244
X 190157  Y 68307
X 198031  Y 68307
X 198031  Y 64370
X 221456  Y 64173
X 225590  Y 64370
X 205905  Y 64370
X 213779  Y 64370
X 221653  Y 68307
X 205905  Y 68307
X 225590  Y 68307
X 213779  Y 68307
X 205905  Y 72244
X 209842  Y 72244
X 225590  Y 72244
X 213779  Y 72244
X 221653  Y 76181
X 205905  Y 76181
X 209842  Y 76181
X 213779  Y 76181
X 217716  Y 76181
X 221653  Y 80118
X 205905  Y 80118
X 209842  Y 80118
X 225590  Y 80118
X 217716  Y 80118
X 213779  Y 80118
X 221653  Y 84055
X 225590  Y 84055
X 217716  Y 84055
X 225590  Y 87992
X 209842  Y 91929
X 213779  Y 91929
X 221653  Y 95767
X 221653  Y 99803
X 205905  Y 99803
