Altium Designer Pick and Place Locations
C:\Documents\Altium\SM_Project\QUANTUM\Time-Card “≈Õÿ.467883.001\√Õ—— ÃŒƒ”À»\UBlox\“≈Õÿ.468157.04 M2-ZED-F9T\ECAD\V1\Project Outputs for GPS-M2-ZED-F9T\GPS-M2-ZED-F9T_rev.1.0_P&P 2025-04-23 22-58\GPS-M2-ZED-F9T_rev.1.0_Pick&Place 2025-04-23 22-58.txt

========================================================================================================================
File Design Information:

Date:       23.04.25
Time:       22:58
Revision:   3919960842409d0e30491195dad4b40feba45b2d
Variant:    No variations
Units used: mm

Designator Footprint                      Center-X(mm) Center-Y(mm) Rotation Layer    Comment           Description                                                                                 
C1         FP-CL542-IPC_C                 8.8023       15.5226      180      TopLayer 1uF_25V_0402      "Cap Ceramic 1uF 25V X5R ±10% SMD 0402 +85∞C Paper T/R"                                     
C2         FP-CL542-IPC_C                 11.0000      15.5000      0        TopLayer 1uF_25V_0402      "Cap Ceramic 1uF 25V X5R ±10% SMD 0402 +85∞C Paper T/R"                                     
C3         FP-CL542-IPC_C                 13.2000      15.5000      0        TopLayer 1uF_25V_0402      "Cap Ceramic 1uF 25V X5R ±10% SMD 0402 +85∞C Paper T/R"                                     
C4         FP-CL542-IPC_C                 13.2000      14.5000      0        TopLayer 1uF_25V_0402      "Cap Ceramic 1uF 25V X5R ±10% SMD 0402 +85∞C Paper T/R"                                     
C5         FP-CL542-IPC_C                 6.4000       12.7000      0        TopLayer 1uF_25V_0402      "Cap Ceramic 1uF 25V X5R ±10% SMD 0402 +85∞C Paper T/R"                                     
C6         FP-GRM31C-0_2-e0_3_0_8-IPC_C   20.2000      6.4000       90       TopLayer 47uF_6.3V_1206    "Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 47uF, X5R, 15%, 20%, 6.3V"   
C7         FP-GRM31C-0_2-e0_3_0_8-IPC_C   2.5000       6.8000       180      TopLayer 47uF_6.3V_1206    "Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 47uF, X5R, 15%, 20%, 6.3V"   
C9         FP-0402-L_1_0_0_05-W_0_5-IPC_B 2.7000       41.0000      180      TopLayer 100nF             None                                                                                        
C10        FP-0402-L_1_0_0_05-W_0_5-IPC_B 17.1000      34.9000      90       TopLayer 100nF             None                                                                                        
C11        FP-0402-L_1_0_0_05-W_0_5-IPC_B 4.0000       35.0000      270      TopLayer 100nF             None                                                                                        
