Altium Designer Pick and Place Locations
C:\Users\user\Downloads\ECAD\Project Outputs for OCXO_DaughterCard\Pick Place for OCXO_DaughterCard.csv

========================================================================================================================
File Design Information:

Date:       27.08.24
Time:       17:24
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R36","4.7K_1%_0402","TopLayer","RESC1005X40X25LL05T05","31.2750","48.9250","0","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R35","4.7K_1%_0402","TopLayer","RESC1005X40X25LL05T05","33.9250","48.8750","180","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R33","Yageo_RC0201JR-070RL","TopLayer","RESC0603X026N","47.0249","43.5727","180","RES, 0.0 OHM, 0.5A, 1/20W, 0201"
"C23","Samsung Electro-Mechanics_CL05B104JO5NNNC","TopLayer","CAPC1005X055N","28.5250","45.9650","270","CAP, CER, X7R, 0.1UF, 5%, 16V, 0402, 0.55MM T"
"C22","Murata_GRM188R61A106ME69D","TopLayer","CAPC1608X090N","27.1250","45.6300","270","CAP, CER, X5R, 10UF, 20%, 10V, 0603, 0.80MM T"
"R34","Yageo_RC0201FR-0710KL","TopLayer","RESC0603X026N","24.0792","46.0600","270","RES, 10K OHM, 1%, 1/20W, 200PPM/C, 0201"
"Y5","SiTime_SiT5501AC-WU-33E0-10T","TopLayer","SITIME_SPL-086-CQFN-010-C07050_REV_DRAFT","33.0000","45.1300","90","OSC, MEMS, STRATUM 3E, 10.000MHZ, 10PPB STAB, LVCMOS, 3.3V, O/P EN, 7.0X5.0X2.2MM, CQFN-10"
"P14","4871","BottomLayer","Keystone_4871","9.5000","7.1000","180","Round Standoff Threaded #2-56 Steel 0.063" (1.60mm) 1/16""
"P13","4871","BottomLayer","Keystone_4871","9.5000","43.7000","180","Round Standoff Threaded #2-56 Steel 0.063" (1.60mm) 1/16""
"P16","4871","BottomLayer","Keystone_4871","41.3000","45.2000","180","Round Standoff Threaded #2-56 Steel 0.063" (1.60mm) 1/16""
"P15","4871","BottomLayer","Keystone_4871","40.6000","4.1000","180","Round Standoff Threaded #2-56 Steel 0.063" (1.60mm) 1/16""
"P12","Mill-Max_8600-0-05-80-00-00-03-0","BottomLayer","TH001V_109DIA_000mt_8600-0","19.2000","48.4000","180","CONN, PC PIN, PRESS-FIT, 10.16MM LENGTH, TIN, TH"
"P11","Mill-Max_8600-0-05-80-00-00-03-0","BottomLayer","TH001V_109DIA_000mt_8600-0","16.2000","48.4000","180","CONN, PC PIN, PRESS-FIT, 10.16MM LENGTH, TIN, TH"
"R32","0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","41.6750","19.3594","180",""
"R31","DNI_0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","40.3000","19.7844","270",""
"R30","0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","39.4750","28.8250","90",""
"R29","DNI_0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","39.0500","27.4431","180",""
"R26","0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","32.7500","37.8750","90",""
"R25","0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","33.0250","36.3750","0",""
"R24","0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","33.0500","33.4250","0",""
"R22","DNI_0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","33.8500","37.8500","270",""
"R21","DNI_0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","33.0500","35.4236","180",""
"R20","DNI_0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","33.0500","34.3750","180",""
"R19","0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","3.1500","38.7710","180",""
"R18","0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","3.1500","37.7710","180",""
"R17","0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","3.1500","34.7460","180",""
"R15","DNI_0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","3.1535","39.7960","0",""
"R28","4.7K_1%_0402","TopLayer","RESC1005X40X25LL05T05","10.8250","46.3508","180","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R27","4.7K_1%_0402","TopLayer","RESC1005X40X25LL05T05","12.7750","46.3508","0","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R23","0_5%_0603","BottomLayer","RESC1608X55X25ML10T15","27.2000","33.9500","180","Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R16","0_5%_0603","BottomLayer","RESC1608X55X25ML10T15","11.5000","34.3710","180","Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"U5","NXP_PCT2075TP,147","BottomLayer","SON50P300X200X80-HS-9N_EP160x160_IPC","29.1414","36.8275","0","SENSOR DIGITAL -55C-125C 8HWSON"
"R14","DNI_0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","3.1500","36.7710","0",""
"R13","DNI_0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","3.1500","35.7460","0",""
"R12","0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","25.8755","19.4691","90",""
"R11","0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","24.3756","19.4961","90",""
"R10","DNI_0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","22.8379","19.9191","0",""
"R9","DNI_0_1%_0402","BottomLayer","RESC1005X40X25NL05T10","27.4755","19.8941","180",""
"C21","Samsung Electro-Mechanics_CL05B104JO5NNNC","BottomLayer","CAPC1005X055N","30.1500","34.9750","180","CAP, CER, X7R, 0.1UF, 5%, 16V, 0402, 0.55MM T"
"R7","Stackpole Electronics, Inc._HCJ0402ZT0R00","TopLayer","RESC1005X045N","45.7000","41.6877","90","RES, 0.0 OHM, 1/8W, 6.5A, 0402"
"R6","Stackpole Electronics, Inc._HCJ0402ZT0R00","TopLayer","RESC1005X045N","29.6856","30.1606","45","RES, 0.0 OHM, 1/8W, 6.5A, 0402"
"Y4","Rakon_RFPO45 US 10 LF","TopLayer","OSC004_600_970x750x430_RFP045","33.5250","28.9250","90","OSC, OCXO, RFPO45, 10 - 26MHZ, 10PPB STAB, HCMOS, 3.3V, 9.7X7.5X4.3MM, SMT"
"C20","Murata_GRM188D71A106MA73D","TopLayer","CAPC1608X100N","32.3000","21.8811","0","CAP, CER, X7T, 10UF, 20%, 10V, 0603, 1.00MM T"
"C19","Samsung Electro-Mechanics_CL05B104JO5NNNC","TopLayer","CAPC1005X055N","31.9826","23.2063","0","CAP, CER, X7R, 0.1UF, 5%, 16V, 0402, 0.55MM T"
"R8","Stackpole Electronics, Inc._HCJ0402ZT0R00","TopLayer","RESC1005X045N","45.2200","43.5726","0","RES, 0.0 OHM, 1/8W, 6.5A, 0402"
"Y3","Abracon_AOCJYR-10.000MHZ-M5625LF","TopLayer","OSC004_600_970x750x410_AOCJYR","29.9000","34.9250","270","OSC, OCXO, 10.000MHZ, 25PPB STAB, LVCMOS, 3.3V, 9.7X7.5X4.3MM, SMT"
"C18","Murata_GRM188D71A106MA73D","BottomLayer","CAPC1608X100N","32.3500","41.2500","0","CAP, CER, X7T, 10UF, 20%, 10V, 0603, 1.00MM T"
"C17","Samsung Electro-Mechanics_CL05B104JO5NNNC","TopLayer","CAPC1005X055N","34.6750","37.4500","270","CAP, CER, X7R, 0.1UF, 5%, 16V, 0402, 0.55MM T"
"U1","LMS1587IS-3.3/NOPB","TopLayer","KTT0003B_L","28.1194","8.4089","0","3A Low Dropout Fast Response Regulators, 3-pin TO-263, Pb-Free"
"R2","DNI_0_1206","TopLayer","FP-RC1206-MFG","14.5500","7.2750","90","RES SMD 0 OHM JUMPER 1/4W 1206"
"C16","Kemet_T491B476K010AT","TopLayer","CAPMP3528X210N_T520","7.2000","13.2850","90","CAP TANT 47UF 10% 10V 1411"
"C5","Kemet_T491B476K010AT","TopLayer","CAPMP3528X210N_T520","14.4750","13.4250","90","CAP TANT 47UF 10% 10V 1411"
"C15","Kemet_T491B476K010AT","TopLayer","CAPMP3528X210N_T520","10.9500","13.2850","90","CAP TANT 47UF 10% 10V 1411"
"FL2","TDK_MPZ1608S601ATA00","BottomLayer","INDC1608X095N","20.0650","18.2955","90","FERRITE BEAD, 600 OHM @100MHZ, 25%, 1A, 0.150 OHM DCR, 0603, 0.95MM T"
"FL1","TDK_MPZ1608S601ATA00","BottomLayer","INDC1608X095N","22.0624","32.0550","270","FERRITE BEAD, 600 OHM @100MHZ, 25%, 1A, 0.150 OHM DCR, 0603, 0.95MM T"
"U4","TI_DS90LV028AQMA/NOPB","BottomLayer","SOP127P600X175_8N","14.4500","23.4300","0","IC, RVCR, DS90LV028AQ-Q1, DUAL, DIFF, LVDS, 400MBPS, SOIC-8"
"U3","TI_DS90LV027AQMA/NOPB","BottomLayer","SOP127P600X175_8N","14.4250","29.3500","180","IC, DRIVER, DS90LV027AQ, DUAL, DIFF, LVDS, 600MBPS, SOIC-8"
"R5","Yageo_RC0402FR-07100RL","BottomLayer","RESC1005X040N","9.9000","22.1450","90","RES SMD 100 OHM 1% 1/16W 0402"
"C14","Yageo_CC0402KRX7R7BB103","BottomLayer","CAPC1005X055N","17.1518","18.7100","270","CAP, CER, X7R, 0.01UF, 10%, 16V, 0402, 0.55MM T"
"C13","Samsung Electro-Mechanics_CL05B104JO5NNNC","BottomLayer","CAPC1005X055N","18.4407","18.6750","270","CAP, CER, X7R, 0.1UF, 5%, 16V, 0402, 0.55MM T"
"C12","Yageo_CC0402KRX7R7BB103","BottomLayer","CAPC1005X055N","20.6778","31.7150","90","CAP, CER, X7R, 0.01UF, 10%, 16V, 0402, 0.55MM T"
"C11","Samsung Electro-Mechanics_CL05B104JO5NNNC","BottomLayer","CAPC1005X055N","19.3167","31.7150","90","CAP, CER, X7R, 0.1UF, 5%, 16V, 0402, 0.55MM T"
"Y2","SiTime_SiT5711AC-KW-33E-10","TopLayer","SON150P700X619-10N_SiT5711","24.3500","25.0811","90","OSC, OCXO, 10.000MHZ, 5PPM STAB, LVCMOS/CLIPPED SINE, 3.3V, DFN-10"
"R4","Panasonic_ERJ-2RKF1003X","TopLayer","RESC1005X040N","21.8300","19.6772","180","RES, 100K OHM, 1%, 1/10W, 100PPM/C, 0402"
"C10","Murata_GRM188D71A106MA73D","TopLayer","CAPC1608X100N","22.1500","30.9061","0","CAP, CER, X7T, 10UF, 20%, 10V, 0603, 1.00MM T"
"C9","Samsung Electro-Mechanics_CL05B104JO5NNNC","TopLayer","CAPC1005X055N","21.8100","29.5561","0","CAP, CER, X7R, 0.1UF, 5%, 16V, 0402, 0.55MM T"
"C8","Murata_GRM188D71A106MA73D","BottomLayer","CAPC1608X100N","38.2500","38.9088","180","CAP, CER, X7T, 10UF, 20%, 10V, 0603, 1.00MM T"
"C7","Samsung Electro-Mechanics_CL05B104JO5NNNC","TopLayer","CAPC1005X055N","43.1167","37.9549","270","CAP, CER, X7R, 0.1UF, 5%, 16V, 0402, 0.55MM T"
"Y1","Rakon_ROD2522S2","TopLayer","OSC007_762_2540x2200x1230","28.4947","29.5471","180","OSC, OCXO, 10MHZ - 20MHZ, 0.5PPB STAB, 3.3V, 22.0X25.4X12.3MM, SMT"
"U2","Microchip_AT24MAC602-XHM-B","BottomLayer","TSSOP65P640X120-8N","9.3618","38.0939","0","IC, EEPROM, AT24MAC602, 2K-BIT (256 X 8), 1MHZ, I2C, 1.7V - 5.5V, TSSOP-8"
"C6","Samsung Electro-Mechanics_CL05B104JO5NNNC","BottomLayer","CAPC1005X055N","11.8025","35.8378","180","CAP, CER, X7R, 0.1UF, 5%, 16V, 0402, 0.55MM T"
"P10","Molex_539160208","BottomLayer","SM020V_50_730x310x337_000mt_53916","5.4000","25.4000","90","CONN, B2B/FPC, HEADER, 20-POS, 0.5MM PITCH, 4.0MM H, VERT, GOLD, SMT"
"J2","Wurth_9774040243R","BottomLayer","TH000V_300DIAx400_001mt_9774040243R","46.5000","13.8000","180","STANDOFF, ROUND, M2X0.4 STEEL 4MM, 9774040243R"
"J1","Wurth_9774040243R","BottomLayer","TH000V_300DIAx400_001mt_9774040243R","46.5000","34.9000","180","STANDOFF, ROUND, M2X0.4 STEEL 4MM, 9774040243R"
"R1","Stackpole Electronics, Inc._RMCF1210ZT0R00","TopLayer","RESC3225X070N","3.4250","11.9250","90","RES, 0.0 OHM, 3A, 1/2W, 1210"
"P9","Samtec_HTSW-102-07-T-S","TopLayer","TH002_254_508x254x838_000mt_HTSW","4.6950","17.9000","0","CONN, PIN, HEADER, 2POS, 2.54MM PITCH, 8.38MM H, VERT, TIN, TH"
"C4","Murata_GRM21BR61A226ME51L","TopLayer","CAPC2013X140N","19.2250","4.7250","270","CAP, CER, X5R, 22UF, 20%, 10V, 0805, 1.40MM T"
"C3","Murata_GRM21BR61A226ME51L","TopLayer","CAPC2013X140N","4.3250","21.1750","0","CAP, CER, X5R, 22UF, 20%, 10V, 0805, 1.40MM T"
"C2","Murata_GRM21BR61A226ME51L","TopLayer","CAPC2013X140N","4.3250","23.7000","0","CAP, CER, X5R, 22UF, 20%, 10V, 0805, 1.40MM T"
