Altium Designer Pick and Place Locations
C:\Users\user\Documents\GitHub\QUANTUM\QUANTUM\QUANTUM\Qantum Time-Card\GNSS\UBlox\RCB-F9T\Altium\ECAD\V1\V1\Project Outputs for GNSS_MODULE_ZED-F9T-00B\Pick Place for GNSS_MODULE_ZED-F9T.csv

========================================================================================================================
File Design Information:

Date:       09.11.23
Time:       20:55
Revision:   d2b103267098ef73bae2943d90a1dcbcfb637784
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R14","1k","TopLayer","FP-RMCF0402-MFG","830.000","482.000","180","1k? ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R13","1k","TopLayer","FP-RMCF0402-MFG","831.000","693.000","180","1k? ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R3","1k","TopLayer","FP-RMCF0402-MFG","2123.999","666.000","90","1k? ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R2","1k","TopLayer","FP-RMCF0402-MFG","2200.999","666.000","90","1k? ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"DS1","Lumex_SML-LXFM0603SUGCTR","TopLayer","LEDS160X80X110-2N_LXFM0603-GR","2490.999","813.000","270","LED, GREEN, 574NM, 20MA, 20MCD MIN, 2.5VF MAX, 0603, 1.10MM T"
"R4","10k","TopLayer","FP-RMCF0402-IPC_C","2398.999","777.806","90","10k? ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"U3","SN74LVC3G07DCUR","TopLayer","DCU0008A_N","780.000","583.000","0","Triple Buffer/Driver With Open-Drain Output, DCU0008A, LARGE T&R"
"R6","10k","TopLayer","FP-RMCF0402-IPC_C","2115.999","515.000","90","10k? ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R5","10k","TopLayer","FP-RMCF0402-IPC_C","2197.999","515.000","270","10k? ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"C4","Murata_GRM155R61E105KA12D","TopLayer","CAPC1005X055N","1635.000","655.000","0","CAP, CER, X5R, 1UF, 10%, 25V, 0402, 0.55MM T"
"C1","Murata_GRM155R61E105KA12D","TopLayer","CAPC1005X055N","1635.000","460.000","0","CAP, CER, X5R, 1UF, 10%, 25V, 0402, 0.55MM T"
"U4","LPV511MGX/NOPB","TopLayer","DCK0005A_N","610.000","645.000","90","micropower Rail-to-Rail Input and Output Operational Amplifier, 5-pin SC-70, Pb-Free"
"U2","SN74LVC3G07DCUR","TopLayer","DCU0008A_N","2006.000","497.000","270","Triple Buffer/Driver With Open-Drain Output, DCU0008A, LARGE T&R"
"U1","ZED-F9T-00B","TopLayer","GPS_ZED-F9T","1251.693","538.662","270","Multi-band GNSS Receiver with Nanosecond-level Timing Accuracy"
"TP8","SMT_100DIA","TopLayer","TP001V_SMT_100DIA","1744.999","150.000","90","TEST POINT, PC, SMT, 1.00MM DIA"
"TP7","SMT_100DIA","TopLayer","TP001V_SMT_100DIA","1689.999","150.000","90","TEST POINT, PC, SMT, 1.00MM DIA"
"TP6","SMT_100DIA","TopLayer","TP001V_SMT_100DIA","1634.999","150.000","90","TEST POINT, PC, SMT, 1.00MM DIA"
"TP5","SMT_100DIA","TopLayer","TP001V_SMT_100DIA","1404.999","1015.000","90","TEST POINT, PC, SMT, 1.00MM DIA"
"TP4","SMT_100DIA","TopLayer","TP001V_SMT_100DIA","1459.999","1015.000","90","TEST POINT, PC, SMT, 1.00MM DIA"
"TP3","SMT_100DIA","TopLayer","TP001V_SMT_100DIA","1054.999","1015.000","90","TEST POINT, PC, SMT, 1.00MM DIA"
"TP2","SMT_100DIA","TopLayer","TP001V_SMT_100DIA","1109.999","1015.000","90","TEST POINT, PC, SMT, 1.00MM DIA"
"TP1","SMT_100DIA","TopLayer","TP001V_SMT_100DIA","1164.999","1015.000","90","TEST POINT, PC, SMT, 1.00MM DIA"
"R12","Vishay_RCP0603W25R0GEB","TopLayer","RESC1608X055N","514.999","490.000","90","RES, 25 OHM, 2%, 1.5W, 150PPM/C, 0603"
"R11","100k","TopLayer","FP-RMCF0402-IPC_C","690.000","460.000","180","100k? ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R10","1k","TopLayer","FP-RMCF0402-MFG","615.000","460.000","180","1k? ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R9","100k","TopLayer","FP-RMCF0402-IPC_C","620.000","181.800","0","100k? ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R8","10k","TopLayer","FP-RMCF0402-IPC_C","2081.323","130.805","270","10k? ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R7","10k","TopLayer","FP-RMCF0402-IPC_C","1923.999","130.805","270","10k? ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"R1","1k","TopLayer","FP-RMCF0402-MFG","1334.999","1024.999","90","1k? ±1% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant"
"Q1","onsemi_NTR2101PT1G","TopLayer","SOT23_3pins_300x140x112","595.000","305.000","0","MOSFET, P-CH, 8VDS, 3.7A ID, 0.052 OHM RDS(ON)@4.5VGS/3.5A, SOT-23-3"
"L1","47nH 300mA","TopLayer","FP-LQG15HH_02-IPC_B","514.999","755.000","90","Multilayer type RF Inductor 47nH ±5% 0.72? 300mA 0402"
