Altium Designer Pick and Place Locations
C:\Users\julianstj\Desktop\WorkNotes\Projects\PTP\CheapPTM\I225\ECAD\Project Outputs for MiniPTM\Pick Place for MiniPTM.csv

========================================================================================================================
File Design Information:

Date:       24/04/24
Time:       09:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R246","49.9_1%_0402","TopLayer","RESC1005X40X25NL10T10","2769.727","-873.618","180",""
"R245","4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","2083.548","-2131.456","180",""
"R244","4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","2252.439","-2183.950","0",""
"R243","4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","2172.855","-2129.885","0",""
"R242","220_1%_0402","BottomLayer","RESC1005X40X25LL10T10","210.533","-2656.318","0",""
"R241","220_1%_0402","BottomLayer","RESC1005X40X25LL10T10","210.533","-2606.121","0",""
"R240","220_1%_0402","BottomLayer","RESC1005X40X25LL10T10","-10.236","-3501.405","180",""
"R239","2.67K_1%_0402","TopLayer","RESC1005X40X25NL05T10","1758.527","-2548.533","90",""
"R238","2.67K_1%_0402","TopLayer","RESC1005X40X25NL05T10","1866.848","-2325.050","180",""
"R237","49.9_1%_0402","TopLayer","RESC1005X40X25NL10T10","1680.092","-2343.130","0",""
"R236","49.9_1%_0402","TopLayer","RESC1005X40X25NL10T10","1664.083","-2203.909","90",""
"R235","0_5%_0402","TopLayer","RESC1005X40X25LL10T10","1685.245","-2113.446","0",""
"R234","0_5%_0402","TopLayer","RESC1005X40X25LL10T10","1683.322","-2073.495","0",""
"R233","2.67K_1%_0402","TopLayer","RESC1005X40X25NL05T10","1769.698","-2326.494","270",""
"R232","2.67K_1%_0402","TopLayer","RESC1005X40X25NL05T10","1767.943","-2243.139","90",""
"R231","2.67K_1%_0402","TopLayer","RESC1005X40X25NL05T10","1818.774","-1833.268","0",""
"R164","49.9_1%_0402","TopLayer","RESC1005X40X25NL10T10","1636.974","-638.779","270",""
"R163","49.9_1%_0402","TopLayer","RESC1005X40X25NL10T10","1636.168","-558.372","90",""
"R147","0_5%_0402","TopLayer","RESC1005X40X25LL10T10","1733.490","-504.792","0",""
"R146","0_5%_0402","TopLayer","RESC1005X40X25LL10T10","1733.465","-461.035","0",""
"R86","2.67K_1%_0402","TopLayer","RESC1005X40X25NL05T10","1816.795","-707.474","0",""
"R64","2.67K_1%_0402","TopLayer","RESC1005X40X25NL05T10","1729.553","-818.542","0",""
"C20","0.1uF_25V_0402","TopLayer","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","1666.863","-729.047","270","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"C19","0.1uF_25V_0402","TopLayer","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","1712.874","-729.766","270","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"P26","U.FL-R-SMT(01)","BottomLayer","HRS-U.FL-R-SMT(10)_V","3814.994","-2692.168","90","CONN RECPT ULTRA-MINI COAX SMD"
"P25","U.FL-R-SMT(01)","BottomLayer","HRS-U.FL-R-SMT(10)_V","3814.994","-2825.577","270","CONN RECPT ULTRA-MINI COAX SMD"
"P24","U.FL-R-SMT(01)","BottomLayer","HRS-U.FL-R-SMT(10)_V","3541.831","-2154.113","180","CONN RECPT ULTRA-MINI COAX SMD"
"P23","U.FL-R-SMT(01)","BottomLayer","HRS-U.FL-R-SMT(10)_V","3794.784","-2156.516","0","CONN RECPT ULTRA-MINI COAX SMD"
