Altium Designer Pick and Place Locations
C:\Documents\Altium\SM_Project\QUANTUM\–¿«–¿¡Œ“ »\Hardware\PTP_SFP\ECAD_V2\ECAD\Output\SFP_RFoF_P&P 2025-07-22 15-54\SFP_RFoF_rev.1_P&P 2025-07-22 15-54.csv

========================================================================================================================
File Design Information:

Date:       22.07.25
Time:       15:55
Revision:   09903b070002e888bd03bf090a5081394ee72aed
Variant:    release
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Layer","Comment","Description"
"C1","FP-MK316L-MFG","60.4822","96.3478","270","TopLayer","10uF_25V_1206","CAP CER 10UF 25V X7R 1206"
"C2","CAPC1608X87X45ML20T05","56.1802","96.1593","90","TopLayer","0.1uF","C0603X104K5RACAUTO"
"C3","FP-1206-L_3_2_0_2-W_1_6_0-IPC_A","94.4883","36.3133","270","TopLayer","10uF_25V_1206","General Purpose Ceramic Capacitor, 1206, 10uF, 20%, X5R, 15%, 25V"
"C4","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","87.3854","28.6025","0","BottomLayer","0.1uF_25V_0402","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"C5","FP-C0603C106M9PACTU-MFG","37.8518","46.3820","90","BottomLayer","10uF_6.3V_0603","CAP CER 10UF 6.3V X5R 0603"
"C6","CAPC1608X87X35NL15T15","36.5620","46.6320","270","BottomLayer","4.7uF_10V_0603",""
"C7","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","39.3399","46.9820","90","BottomLayer","0.1uF_25V_0402","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"C8","FP-C0603C106M9PACTU-MFG","42.9198","42.7237","270","BottomLayer","10uF_6.3V_0603","CAP CER 10UF 6.3V X5R 0603"
"C9","CAPC1608X87X35NL15T15","44.4773","42.4820","90","BottomLayer","4.7uF_10V_0603",""
"C10","FP-T495D107K016ATE125-MFG","54.7958","100.4366","0","TopLayer","100uF_16V_2917","CAP TANT 100UF 10% 16V 2917"
"C11","FP-GRM31C-0_2-e0_3_0_8-IPC_C","58.1516","95.7514","270","TopLayer","4.7uF_50V_1206","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 4.7uF, X7R, 15%, 10%, 50V"
"C12","FP-GRM31C-0_2-e0_3_0_8-IPC_C","65.2189","96.4478","270","TopLayer","4.7uF_50V_1206","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 4.7uF, X7R, 15%, 10%, 50V"
"C13","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","45.7311","43.4322","270","BottomLayer","0.1uF_25V_0402","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"C14","FP-C0603C106M9PACTU-MFG","37.1258","41.7770","270","BottomLayer","10uF_6.3V_0603","CAP CER 10UF 6.3V X5R 0603"
"C15","CAPC1608X87X35NL15T15","38.6382","41.8785","90","BottomLayer","4.7uF_10V_0603",""
"C16","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","37.0620","43.4128","180","BottomLayer","0.1uF_25V_0402","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"C17","FP-C0603C106M9PACTU-MFG","42.9198","45.4751","90","BottomLayer","10uF_6.3V_0603","CAP CER 10UF 6.3V X5R 0603"
"C18","CAPC1608X87X35NL15T15","44.4717","45.4714","270","BottomLayer","4.7uF_10V_0603",""
"C19","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","70.0733","49.5466","180","TopLayer","0.1uF_25V_0402","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"C20","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","62.2602","46.6392","0","BottomLayer","0.1uF_25V_0402","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"C21","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","45.7324","45.1487","90","BottomLayer","0.1uF_25V_0402","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"C22","FP-C0603C106M9PACTU-MFG","38.1581","57.9541","270","BottomLayer","10uF_6.3V_0603","CAP CER 10UF 6.3V X5R 0603"
"C23","CAPC1608X87X35NL15T15","36.7041","57.9780","90","BottomLayer","4.7uF_10V_0603",""
"C24","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","39.3399","57.8950","270","BottomLayer","0.1uF_25V_0402","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"C25","FP-C0603C106M9PACTU-MFG","44.0518","59.4280","270","BottomLayer","10uF_6.3V_0603","CAP CER 10UF 6.3V X5R 0603"
"C26","FP-0402-L_1_0_0_05-W_0_5-IPC_B","72.4762","47.0884","0","TopLayer","100nF","None"
"C27","CAPC1608X87X35NL15T15","42.4199","59.3220","90","BottomLayer","4.7uF_10V_0603",""
"C28","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","45.4615","59.9780","270","BottomLayer","0.1uF_25V_0402","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"C29","FP-C0603C106M9PACTU-MFG","61.2351","42.4899","0","BottomLayer","10uF_6.3V_0603","CAP CER 10UF 6.3V X5R 0603"
"C30","FP-C0603C106M9PACTU-MFG","36.5318","64.1076","90","BottomLayer","10uF_6.3V_0603","CAP CER 10UF 6.3V X5R 0603"
