Altium Designer Pick and Place Locations
C:\Users\julianstj\Desktop\WorkNotes\Projects\PTP\WWVB_SDR\ECAD\Project Outputs for RCB_WWVB_SDR\Pick Place for RCB_WWVB_SDR_V2(845-XXXXX_PCBA_projectname).txt

========================================================================================================================
File Design Information:

Date:       11/03/24
Time:       10:22
Revision:   Not in VersionControl
Variant:    845-XXXXX_PCBA_projectname
Units used: mil

Designator Comment                      Layer       Footprint                                Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                              
R17        100_1%_0402                  BottomLayer RESC1005X40X25LL05T05                    389.764       566.929       90       "Chip Resistor, 100 Ohm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                       
D9         CDSU4148                     BottomLayer FP-0603-SOD-523F-MFG                     269.364       1022.437      0        "DIODE GEN PURP 75V 150MA 0603"                                                                                                                          
C171       0.1uF_16V_0402               BottomLayer FP-C0402-BB-MFG                          274.016       972.441       0        "CAP CER 0.1UF 16V 5% X7R 0402"                                                                                                                          
C170       0.1uF_16V_0402               BottomLayer FP-C0402-BB-MFG                          324.803       468.504       180      "CAP CER 0.1UF 16V 5% X7R 0402"                                                                                                                          
C155       10uF_10V_0402                BottomLayer FP-CL05A106MP5NUNC-MFG                   324.803       504.400       180      "CAP CER 10UF 10V X5R 0402"                                                                                                                              
C74        0.1uF_16V_0402               BottomLayer FP-C0402-BB-MFG                          362.205       633.858       90       "CAP CER 0.1UF 16V 5% X7R 0402"                                                                                                                          
C7         10uF_10V_0402                BottomLayer FP-CL05A106MP5NUNC-MFG                   413.386       629.921       90       "CAP CER 10UF 10V X5R 0402"                                                                                                                              
D8         LTST-C190GKT                 TopLayer    FP-LTST-C190GKT-MFG                      67.158        964.568       180      "LED GREEN CLEAR CHIP SMD"                                                                                                                               
D4         LTST-C190GKT                 TopLayer    FP-LTST-C190GKT-MFG                      66.929        1015.748      180      "LED GREEN CLEAR CHIP SMD"                                                                                                                               
C154       0.1uF_16V_0402               BottomLayer FP-C0402-BB-MFG                          490.847       864.173       180      "CAP CER 0.1UF 16V 5% X7R 0402"                                                                                                                          
C124       0.1uF_16V_0402               BottomLayer FP-C0402-BB-MFG                          258.268       929.134       0        "CAP CER 0.1UF 16V 5% X7R 0402"                                                                                                                          
C123       0.1uF_16V_0402               BottomLayer FP-C0402-BB-MFG                          258.268       893.701       0        "CAP CER 0.1UF 16V 5% X7R 0402"                                                                                                                          
C122       0.1uF_16V_0402               BottomLayer FP-C0402-BB-MFG                          311.609       1110.236      0        "CAP CER 0.1UF 16V 5% X7R 0402"                                                                                                                          
C107       0.1uF_16V_0402               BottomLayer FP-C0402-BB-MFG                          338.583       1007.874      270      "CAP CER 0.1UF 16V 5% X7R 0402"                                                                                                                          
C106       0.1uF_16V_0402               BottomLayer FP-C0402-BB-MFG                          259.842       842.520       0        "CAP CER 0.1UF 16V 5% X7R 0402"                                                                                                                          
C104       0.1uF_16V_0402               BottomLayer FP-C0402-BB-MFG                          484.252       785.433       180      "CAP CER 0.1UF 16V 5% X7R 0402"                                                                                                                          
R45        10K_1%_0402                  TopLayer    RESC1005X40X25NL10T10                    574.803       688.976       90       ""                                                                                                                                                       
XTAL1      ECS-TXO-3225-160-TR          BottomLayer ECS-TXO-3225_ECS                         708.661       244.095       90       "No Description Available"                                                                                                                               
U15        iCE40UP5K-SG48I              TopLayer    FP-QFN-48-IPC_C                          370.079       893.701       180      "ICE40-ULTRAPLUS, 5280 LUTS, 1.2V"                                                                                                                       
U14        TPS62442QWRPSRQ1             TopLayer    FP-RQR0014A-MFG                          639.255       583.661       270      "Adjustable-Frequency Dual Step-Down Converter, 2.7-6V VIN, 0.6-5.5V 2A VOUT, VQFN-HR14"                                                                 
SW2        B3U-1000P                    TopLayer    FP-B3U-1000P-MFG                         133.858       311.024       180      "SWITCH TACTILE SPST-NO 0.05A 12V"                                                                                                                       
SW1        B3U-1000P                    BottomLayer FP-B3U-1000P-MFG                         507.874       232.284       270      "SWITCH TACTILE SPST-NO 0.05A 12V"                                                                                                                       
R107       10K_1%_0402                  BottomLayer RESC1005X40X25NL10T10                    484.252       948.819       180      ""                                                                                                                                                       
R106       10K_1%_0402                  BottomLayer RESC1005X40X25NL10T10                    484.252       907.332       180      ""                                                                                                                                                       
R105       330_1%_0402                  TopLayer    RESC1005X40X25NL10T10                    354.331       673.228       0        ""                                                                                                                                                       
R104       0_5%_0402                    BottomLayer RESC1005X40X25NL05T10                    413.386       765.065       180      ""                                                                                                                                                       
R103       0_5%_0402                    BottomLayer RESC1005X40X25NL05T10                    1138.346      1081.607      90       ""                                                                                                                                                       
R102       0_5%_0402                    BottomLayer RESC1005X40X25NL05T10                    1046.876      1242.128      180      ""                                                                                                                                                       
R101       0_5%_0402                    BottomLayer RESC1005X40X25NL05T10                    1061.024      1295.276      180      ""                                                                                                                                                       
R100       0_5%_0402                    BottomLayer RESC1005X40X25NL05T10                    948.145       1148.827      0        ""                                                                                                                                                       
R99        CRCW04020000Z0ED             TopLayer    FP-CRCW0402-e3-IPC_C                     1076.968      2240.594      90       "RES Thick Film, 0O, 0.063W, 0402"                                                                                                                       
R98        8.06K_1%_0402                BottomLayer RESC1005X40X25ML05T05                    661.892       626.066       0        "Chip Resistor, 8.06 KOhm, +/- 1%, 63 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                      
R97        DNI_0_5%_0402                BottomLayer RESC1005X40X25NL05T10                    602.362       539.370       180      ""                                                                                                                                                       
Q1         SSM3J328R,LF                 BottomLayer TOSH-SOT-23F_V                           107.959       330.709       180      "TOSHIBA Field-Effect Transistor Silicon P-Channel MOS Type (U-MOS VI), 20 V, -55 to 125 degC, 3-Pin SOTFL, RoHS, Tape and Reel"                         
