Altium Designer Pick and Place Locations
\\Mac\Home\Downloads\ECAD\Project Outputs for TimeHAT\Pick Place for TimeHAT.txt

========================================================================================================================
File Design Information:

Date:       12/02/24
Time:       13:32
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                      Layer       Footprint                            Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                   
U4         "TG5032CGN 40.0000M-CAGHNA0" BottomLayer QFN10_TG5032CGN_40.0000M-CAGHNA0_EPS 519.014       -3838.542     90       "No Description Available"                                                                                                                                                    
X1         SIT5501AI-WUG33JT-10.000000  BottomLayer XTAL_SiT5501_70x50                   118.959       -3836.157     270      "1 MHz  60 MHz, Elite X Stratum 3E Precision Oscillator"                                                                                                                      
R81        CRCW040210K0JNED             BottomLayer FP-CRCW0402-e3-IPC_B                 328.827       -3801.319     180      "RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"                                                                                                                           
R80        CRCW040210K0JNED             BottomLayer FP-CRCW0402-e3-IPC_B                 330.356       -3845.832     180      "RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"                                                                                                                           
R79        CRCW040210K0JNED             BottomLayer FP-CRCW0402-e3-IPC_B                 -46.607       -3746.694     270      "RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"                                                                                                                           
R78        0_5%_0402                    TopLayer    RESC1005X40X25LL10T10                1032.235      -3634.169     90       ""                                                                                                                                                                            
R77        0_5%_0402                    TopLayer    RESC1005X40X25LL10T10                1072.974      -3634.169     90       ""                                                                                                                                                                            
R76        CRCW040210K0JNED             BottomLayer FP-CRCW0402-e3-IPC_B                 701.773       -3845.826     0        "RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"                                                                                                                           
C12        0.1uF_16V_0402               BottomLayer FP-GRM15-MFG                         631.563       -3704.861     90       "CAP CER 0.1UF 16V X7R 0402"                                                                                                                                                  
C11        22pF_10V_0402                BottomLayer CAPC1005X56X25LL10T15                601.991       -3705.651     270      ""                                                                                                                                                                            
C10        0.1uF_16V_0402               BottomLayer FP-GRM15-MFG                         -46.607       -3900.944     270      "CAP CER 0.1UF 16V X7R 0402"                                                                                                                                                  
D3         8240136                      TopLayer    SOT143-4L                            772.640       -3863.542     180      "TVS Diode WE-TVS-HS, VRWM=3.3V"                                                                                                                                              
R75        DNI_4.7K_1%_0402             BottomLayer RESC1005X40X25NL10T10                -74.223       -2134.565     0        ""                                                                                                                                                                            
R74        DNI_4.7K_1%_0402             BottomLayer RESC1005X40X25NL10T10                -70.286       -2085.236     0        ""                                                                                                                                                                            
R73        DNI_4.7K_1%_0402             BottomLayer RESC1005X40X25NL10T10                -70.286       -2031.496     0        ""                                                                                                                                                                            
U3         MPM3630GQV-P                 TopLayer    FP-MPM3630GQV-P-MFG                  436.667       -3427.792     90       "DC DC CONVERTER 0.6-18V"                                                                                                                                                     
R72        11.3K_1%_0402                TopLayer    RESC1005X40X25LL10T10                381.056       -3584.581     180      ""                                                                                                                                                                            
R71        0_5%_0402                    TopLayer    RESC1005X40X25LL10T10                382.368       -3546.742     0        ""                                                                                                                                                                            
R70        51K_1%_0402                  TopLayer    RESC1005X40X25ML10T10                439.973       -3597.178     270      ""                                                                                                                                                                            
C9         22pF_10V_0402                TopLayer    CAPC1005X56X25LL10T15                483.849       -3601.115     270      ""                                                                                                                                                                            
U2         NX3DV221TK                   TopLayer    FP-SOT650-2-MFG                      1060.900      -3873.760     0        "USB Switch IC 1 Channel 10-HVSON (3x3)"                                                                                                                                      
U1         CAT24C32WI-GT3               TopLayer    ONSC-SOIC-8-751BD-01_M               32.076        -2110.236     0        "I2C CMOS Serial EEPROM, 32 Kb, 1.7 to 5.5 V, -40 to 85 degC, 8-Pin SOIC (751BD), RoHS, Tape and Reel"                                                                        
R69        DNI_4.7K_1%_0402             BottomLayer RESC1005X40X25NL10T10                916.021       -2048.934     0        ""                                                                                                                                                                            
R68        0_5%_0402                    TopLayer    RESC1005X40X25LL10T10                1209.696      -3918.371     180      ""                                                                                                                                                                            
R64        0_5%_0402                    TopLayer    RESC1005X40X25LL10T10                937.791       -3873.760     180      ""                                                                                                                                                                            
R62        0_5%_0402                    TopLayer    RESC1005X40X25LL10T10                1189.496      -3875.972     180      ""                                                                                                                                                                            
R61        0_5%_0402                    TopLayer    RESC1005X40X25LL10T10                937.462       -3807.101     180      ""                                                                                                                                                                            
R60        4.7K_1%_0402                 BottomLayer RESC1005X40X25NL10T10                914.798       -2098.719     180      ""                                                                                                                                                                            
R59        DNI_4.7K_1%_0402             BottomLayer RESC1005X40X25NL10T10                143.296       -2135.236     180      ""                                                                                                                                                                            
R58        DNI_4.7K_1%_0402             BottomLayer RESC1005X40X25NL10T10                143.296       -2185.236     180      ""                                                                                                                                                                            
R44        DNI_4.7K_1%_0402             BottomLayer RESC1005X40X25NL10T10                143.296       -2085.236     180      ""                                                                                                                                                                            
R39        DNI_0_5%_0402                BottomLayer RESC1005X40X25LL10T10                55.697        -2039.173     90       ""                                                                                                                                                                            
R38        0_5%_0402                    BottomLayer RESC1005X40X25LL10T10                255.126       -2071.205     0        ""                                                                                                                                                                            
R36        0_5%_0402                    BottomLayer RESC1005X40X25LL10T10                1284.114      -2072.557     270      ""                                                                                                                                                                            
R35        0_5%_0402                    BottomLayer RESC1005X40X25LL10T10                1349.093      -2071.205     270      ""                                                                                                                                                                            
R33        0_5%_0402                    BottomLayer RESC1005X40X25LL10T10                827.518       -2035.156     0        ""                                                                                                                                                                            
R29        0_5%_0402                    BottomLayer RESC1005X40X25LL10T10                763.771       -2373.738     180      ""                                                                                                                                                                            
R25        0_5%_0402                    BottomLayer RESC1005X40X25LL10T10                776.957       -2203.410     180      ""                                                                                                                                                                            
R24        0_5%_0402                    BottomLayer RESC1005X40X25LL10T10                764.276       -2247.672     180      ""                                                                                                                                                                            
R23        0_5%_0402                    BottomLayer RESC1005X40X25LL10T10                751.366       -2447.672     180      ""                                                                                                                                                                            
R22        0_5%_0402                    BottomLayer RESC1005X40X25LL10T10                857.600       -2446.573     180      ""                                                                                                                                                                            
C8         0.1uF_25V_0402               TopLayer    FP-0402-L_1_0_1-W_0_5_0_1-IPC_C      1084.832      -3784.813     180      "General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"                                                                                                          
C7         0.1uF_25V_0402               BottomLayer FP-0402-L_1_0_1-W_0_5_0_1-IPC_C      143.296       -2035.236     180      "General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"                                                                                                          
C6         0.1uF_100V_0805              TopLayer    FP-0805-L_2_0_0_1-W_1_25-MFG         1224.149      -2923.078     0        "Multilayer Ceramic Capacitor 0.1 uF 100V X7R 20% SMD 0805 T/R"                                                                                                               
J7         73251-1350                   TopLayer    FP-73251-1350-MFG                    132.469       -3803.542     0        "CONN SMA JACK STR 50 OHM SMD"                                                                                                                                                
J6         73251-1350                   TopLayer    FP-73251-1350-MFG                    523.622       -3803.542     0        "CONN SMA JACK STR 50 OHM SMD"                                                                                                                                                
J5         731000114                    TopLayer    MOLX-731000114_V                     -86.961       -3372.892     0        "SMA Right-Angle PCB Jack Receptacle, Brass Body, Gold Plated, 50 Ohm, 5-Pin THD, RoHS, Tray"                                                                                 
J4         731000114                    TopLayer    MOLX-731000114_V                     -86.961       -2376.207     0        "SMA Right-Angle PCB Jack Receptacle, Brass Body, Gold Plated, 50 Ohm, 5-Pin THD, RoHS, Tray"                                                                                 
R142       200_1%_0402                  TopLayer    FP-ERJ2RK-IPC_A                      611.181       -2971.994     270      "RES SMD 200 OHM 1% 1/10W 0402"                                                                                                                                               
R20        220_1%_0402                  BottomLayer RESC1005X40X25NL10T10                1993.251      -3757.285     270      ""                                                                                                                                                                            
R18        220_1%_0402                  BottomLayer RESC1005X40X25NL10T10                1893.251      -3761.222     270      ""                                                                                                                                                                            
R9         6.8K_1%_0402                 BottomLayer RESC1005X40X25LL10T10                1173.097      -2665.200     180      ""                                                                                                                                                                            
R7         3.6K_1%_0402                 BottomLayer RESC1005X40X25ML05T10                1173.097      -2708.384     0        ""                                                                                                                                                                            
J3         M20-7832046                  BottomLayer FP-M20-7832046-MFG                   999.093       -1902.967     0        "CONN RCPT 40POS 0.1 TIN PCB"                                                                                                                                                 
D12        LTST-C191KGKT                TopLayer    FP-LTST-C191KGKT-MFG                 584.484       -3053.291     180      "LED GREEN CLEAR SMD"                                                                                                                                                         
C183       0.1uF_25V_0402               TopLayer    FP-0402-L_1_0_1-W_0_5_0_1-IPC_C      590.069       -3371.690     0        "General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"                                                                                                          
C4         0.1uF_25V_0402               BottomLayer FP-0402-L_1_0_1-W_0_5_0_1-IPC_C      377.046       -3007.541     0        "General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"                                                                                                          
