Altium Designer Pick and Place Locations
C:\Users\julianstj\Desktop\WorkNotes\Projects\PTP\WiWi\SDR\ECAD_V4\Project Outputs for WiWi_SDR\Pick Place for WiWi_SDR_V4(845-XXXXX_PCBA_projectname).csv

========================================================================================================================
File Design Information:

Date:       13/12/24
Time:       14:03
Revision:   Not in VersionControl
Variant:    845-XXXXX_PCBA_projectname
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R78","0_5%_0402","BottomLayer","RESC1005X40X25NL05T10","2149.606","3496.063","90",""
"U36","SKY66112-11","TopLayer","FP-SKY66112-11-MFG","1307.087","3192.913","90","CONNECTED HOME/WEARABLEBLE+ZIGBE"
"U35","SKY13585-679LF","TopLayer","FP-SKY13585-679LF-MFG","1227.756","3399.606","0","IC RF SWITCH SPDT 6GHZ 6MLPD"
"U34","SKY13585-679LF","TopLayer","FP-SKY13585-679LF-MFG","617.520","3391.732","180","IC RF SWITCH SPDT 6GHZ 6MLPD"
"U33","SKY13585-679LF","TopLayer","FP-SKY13585-679LF-MFG","1102.362","3401.575","180","IC RF SWITCH SPDT 6GHZ 6MLPD"
"U32","SKY13585-679LF","TopLayer","FP-SKY13585-679LF-MFG","857.677","3281.496","0","IC RF SWITCH SPDT 6GHZ 6MLPD"
"U31","SE2435L-R","TopLayer","FP-SE2435L-R-MFG","665.354","3173.228","180","IC FRONT END 930MHZ ISM 24QFN"
"U30","TPSM84209RKHR","TopLayer","FP-RKH0009A-MFG","153.051","3293.307","90","DC DC CONVERTER 1.2-6V"
"U29","SKY13585-679LF","TopLayer","FP-SKY13585-679LF-MFG","387.795","3347.047","270","IC RF SWITCH SPDT 6GHZ 6MLPD"
"R200","0_5%_0402","TopLayer","RESC1005X40X25NL05T10","1444.882","3259.843","270",""
"R199","0_5%_0402","BottomLayer","RESC1005X40X25NL05T10","1580.709","3547.244","0",""
"R198","0_5%_0402","BottomLayer","RESC1005X40X25NL05T10","1580.709","3500.000","0",""
"R197","0_5%_0402","BottomLayer","RESC1005X40X25NL05T10","1583.661","3452.756","0",""
"R196","0_5%_0402","BottomLayer","RESC1005X40X25NL05T10","1583.662","3591.902","0",""
"R195","0_5%_0402","BottomLayer","RESC1005X40X25NL05T10","1583.662","3635.209","0",""
"R194","0_5%_0402","BottomLayer","RESC1005X40X25NL05T10","944.882","3102.362","0",""
"R193","0_5%_0402","BottomLayer","RESC1005X40X25NL05T10","846.457","3188.976","0",""
"R192","0_5%_0402","BottomLayer","RESC1005X40X25NL05T10","846.457","3145.669","0",""
"R191","1.74K_1%_0402","BottomLayer","RESC1005X40X25NL05T05","86.614","3216.535","0",""
"R190","10K_1%_0402","BottomLayer","RESC1005X40X25LL05T10","119.667","3161.417","0",""
"R189","0_5%_0402","BottomLayer","RESC1005X40X25NL05T10","110.236","3255.905","0",""
"R188","5.1K_1%_0402","BottomLayer","RESC1005X40X25NL05T10","188.976","405.512","180",""
"R187","5.1K_1%_0402","BottomLayer","RESC1005X40X25NL05T10","488.189","551.181","90",""
"R186","536_1%_0402","BottomLayer","RESC1005X40X25NL05T05","2097.383","1545.158","90",""
"R185","536_1%_0402","BottomLayer","RESC1005X40X25NL05T05","2015.748","1549.095","90",""
"R184","536_1%_0402","TopLayer","RESC1005X40X25NL05T05","2054.270","1547.484","270",""
"R183","300_1%_0402","BottomLayer","RESC1005X40X25LL10T10","775.591","2791.339","0",""
"R182","330_1%_0402","TopLayer","RESC1005X40X25NL10T10","1787.402","334.646","0",""
"P10","U.FL-R-SMT(01)","BottomLayer","HRS-U.FL-R-SMT(10)_V","592.028","-747.047","0","CONN RECPT ULTRA-MINI COAX SMD"
"P9","U.FL-R-SMT(01)","BottomLayer","HRS-U.FL-R-SMT(10)_V","191.437","-747.047","180","CONN RECPT ULTRA-MINI COAX SMD"
"L59","742792780","BottomLayer","SMD-0402","1711.122","3171.878","180","SMD EMI Suppression Ferrite Bead WE-CBF, Z = 220 Ohm"
"L58","742792780","BottomLayer","SMD-0402","1712.598","3251.968","180","SMD EMI Suppression Ferrite Bead WE-CBF, Z = 220 Ohm"
"L57","742792780","BottomLayer","SMD-0402","1712.598","3350.394","180","SMD EMI Suppression Ferrite Bead WE-CBF, Z = 220 Ohm"
"L56","6.8nH_0402","TopLayer","FP-LQG15HH_02-IPC_A","529.831","3298.295","0","Multilayer type RF Inductor 6.8nH ±5% 0.22O 600mA 0402"
"L55","6.8nH_0402","TopLayer","FP-LQG15HH_02-IPC_A","519.685","3208.661","180","Multilayer type RF Inductor 6.8nH ±5% 0.22O 600mA 0402"
"L54","6.8nH_0402","BottomLayer","FP-LQG15HH_02-IPC_A","669.291","3027.653","90","Multilayer type RF Inductor 6.8nH ±5% 0.22O 600mA 0402"
"L53","3.3nH_0402","BottomLayer","FP-LQG15HH_02-IPC_B","803.149","3068.733","180","Multilayer type RF Inductor 3.3nH ±0.3nH 0.125O 800mA 0402"
"L52","3nH_0402","TopLayer","FP-LQG15HH_02-IPC_A","519.685","3074.803","180","Multilayer type RF Inductor 3nH ±0.3nH 0.125O 800mA 0402"
"L51","1.3nH_0402","TopLayer","FP-LQW15AN_00-W0_6-0_1-MFG","623.663","3037.496","270","Wire Wound RF Inductor 1.3nH ±0.2nH 1200mA 0.017O 0402 (1005)"
"L50","4.7nH_0402","TopLayer","FP-LQG15HH_02-IPC_B","715.104","2968.070","90","Multilayer type RF Inductor 4.7nH ±0.2nH 0.16O 700mA 0402"
"L49","LQP03TN1N2B02D","BottomLayer","FP-LQP03TG_02-IPC_A","330.709","-747.047","0","Film type RF Inductor 1.2nH ±0.1nH 750mA 0.1O 0201 (0603)"
"L48","LQP03TN1N2B02D","TopLayer","FP-LQP03TG_02-IPC_A","1398.424","3031.654","0","Film type RF Inductor 1.2nH ±0.1nH 750mA 0.1O 0201 (0603)"
"J8","SMA-J-P-H-ST-MT1","TopLayer","FP-SMA-J-P-H-ST-MT1-MFG","374.016","3641.732","0","CONN SMA JACK STR 50 OHM SMD"
"J7","SMA-J-P-H-ST-MT1","TopLayer","FP-SMA-J-P-H-ST-MT1-MFG","837.205","3641.732","0","CONN SMA JACK STR 50 OHM SMD"
"D10","PESD0402-140","TopLayer","FP-PESD0402-MFG","855.315","3448.819","180","TVS DIODE 14V 40V 0402"
"D8","PESD0402-140","TopLayer","FP-PESD0402-MFG","1834.646","3448.819","180","TVS DIODE 14V 40V 0402"
"D4","LTST-C190GKT","TopLayer","FP-LTST-C190GKT-MFG","1781.496","397.638","180","LED GREEN CLEAR CHIP SMD"
"C370","0.1uF_25V_0402","BottomLayer","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","1799.584","3207.158","0","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"C369","0.1uF_25V_0402","BottomLayer","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","1637.795","3150.225","270","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"C368","4.7uF_10V_0402","BottomLayer","FP-C1005-050-0_15-MFG","1598.425","3153.178","270","CAP CER 4.7UF 10V X5R 0402"
"C367","10uF_10V_0402","BottomLayer","FP-CL05A106MP5NUNC-MFG","1555.118","3149.606","270","CAP CER 10UF 10V X5R 0402"
"C366","1nF_50V_0402","BottomLayer","CAPC1005X55X25ML5T10","1429.134","3204.724","90","Chip Capacitor, 1 nF, +/- 10%, 50 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C365","DNI_3.3pF_50V_0402","TopLayer","FP-CBR04C-MFG","1448.819","3311.024","180","CAP CER 3.3PF 50V C0G/NP0 0402"
"C364","DNI_3.3pF_50V_0402","TopLayer","FP-CBR04C-MFG","1456.693","3200.787","180","CAP CER 3.3PF 50V C0G/NP0 0402"
"C363","0.1uF_25V_0402","BottomLayer","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","1799.584","3246.249","0","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"C362","0.1uF_25V_0402","BottomLayer","FP-0402-L_1_0_1-W_0_5_0_1-IPC_C","1551.181","3259.843","90","General Purpose Ceramic Capacitor, 0402, 100nF, 10%, X7R, 15%, 25V"
"C361","4.7uF_10V_0402","BottomLayer","FP-C1005-050-0_15-MFG","1637.795","3259.843","90","CAP CER 4.7UF 10V X5R 0402"
"C360","10uF_10V_0402","BottomLayer","FP-CL05A106MP5NUNC-MFG","1594.488","3259.843","90","CAP CER 10UF 10V X5R 0402"
"C359","1nF_50V_0402","BottomLayer","CAPC1005X55X25ML5T10","1351.876","3247.065","180","Chip Capacitor, 1 nF, +/- 10%, 50 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
