Altium Designer Pick and Place Locations
C:\Users\julianstj\Desktop\WorkNotes\Projects\PTP\WiWi\USBStick\ECAD\Project Outputs for WiWi_USBStick\Pick Place for WiWi_USBStick_V1(845-XXXXX_PCBA_projectname).txt

========================================================================================================================
File Design Information:

Date:       10/04/25
Time:       13:10
Revision:   Not in VersionControl
Variant:    845-XXXXX_PCBA_projectname
Units used: mil

Designator Comment                      Layer       Footprint                       Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                               
R25        DNI_0_5%_0402                TopLayer    RESC1005X40X25LL10T10           1570.866      2551.181      270      ""                                                                                                                                                                                        
C331       0.1uF_16V_0402               TopLayer    FP-C0402-BB-MFG                 444.882       3401.575      0        "CAP CER 0.1UF 16V 5% X7R 0402"                                                                                                                                                           
C330       0.1uF_16V_0402               BottomLayer FP-C0402-BB-MFG                 323.179       3673.622      180      "CAP CER 0.1UF 16V 5% X7R 0402"                                                                                                                                                           
U28        ESP32-C6                     TopLayer    QFN40P500X500X90-41N            228.346       3677.165      270      "IC RF TxRx Only Bluetooth, WiFi Bluetooth v5.0, Thread, ZigbeeÂ® 2.412GHz ~ 2.484GHz 40-VFQFN Exposed Pad"                                                                               
U26        W25Q128JVSIQ                 TopLayer    IC_W25Q128JVSIQ                 236.220       4251.968      180      "NOR Flash Serial (SPI, Dual SPI, Quad SPI) 3.3V 128M-bit 16M x 8 6ns 8-Pin SOIC Tube"                                                                                                    
U7         DPX202700DT-4062A1           TopLayer    RF_4060A1_TDK                   842.772       4338.191      180      "No Description Available"                                                                                                                                                                
U6         DPX202700DT-4062A1           TopLayer    RF_4060A1_TDK                   634.111       4338.191      180      "No Description Available"                                                                                                                                                                
U3         GP2S1+                       TopLayer    DQ1225_MNC                      736.473       4521.349      270      "No Description Available"                                                                                                                                                                
C73        0.1uF_16V_0402               TopLayer    FP-C0402-BB-MFG                 948.819       885.317       0        "CAP CER 0.1UF 16V 5% X7R 0402"                                                                                                                                                           
C72        0.1uF_16V_0402               TopLayer    FP-C0402-BB-MFG                 948.819       925.197       0        "CAP CER 0.1UF 16V 5% X7R 0402"                                                                                                                                                           
C20        15pF_50V_0402                TopLayer    CAPC1005X55X25NL05T10           593.495       4065.393      90       ""                                                                                                                                                                                        
Y6         ABS05W-32.768KHZ-K-2-T       BottomLayer FP-ABS05W-MFG                   141.732       3944.882      180      "Crystal 32.768kHz ±20ppm (Tol) 4pF 85k? 2-Pin SMD T/R"                                                                                                                                   
Y1         ABM3B-30.000MHZ-10-1-U-T     TopLayer    FP-ABM3B-MFG                    1078.740      720.472       0        "Crystal 30MHz ±10ppm 10pF SMD-4 5mm x 3.2mm"                                                                                                                                             
R146       0_5%_0402                    BottomLayer RESC1005X40X25NL05T10           378.150       4279.528      180      ""                                                                                                                                                                                        
R144       0_5%_0402                    BottomLayer RESC1005X40X25NL05T10           381.890       4226.968      180      ""                                                                                                                                                                                        
R81        10K_1%_0402                  TopLayer    RESC1005X40X25NL10T10           1608.268      2199.917      90       ""                                                                                                                                                                                        
FB6        MPZ1005S221ET000             TopLayer    FP-MPZ1005-IPC_A                388.337       2458.997      0        "Power line Ferrite Bead 220O @ 100MHz 0.9A DCR 0.22O SMD 0402"                                                                                                                           
