Altium Designer Pick and Place Locations
C:\Users\julianstj\Desktop\WorkNotes\Projects\PTP\WhiteRabbitNIC\ECAD\Project Outputs for WR_NIC\Pick Place for WR_NIC_V2.csv

========================================================================================================================
File Design Information:

Date:       08/05/24
Time:       15:40
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R296","0_1%_0402","BottomLayer","RESC1005X40X25LL05T05","5304.726","-1947.671","90","Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R295","0_1%_0402","BottomLayer","RESC1005X40X25LL05T05","5386.201","-1977.901","90","Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R294","49.9_1%_0402","TopLayer","RESC1005X40X25NL10T10","3461.291","-3387.920","0",""
"R293","49.9_1%_0402","TopLayer","RESC1005X40X25NL10T10","3356.471","-3346.145","0",""
"R292","100_1%_0402","BottomLayer","RESC1005X40X25ML05T10","4156.853","-2166.190","0",""
"R291","100_1%_0402","TopLayer","RESC1005X40X25ML05T10","2501.798","-1187.706","270",""
"R290","100_1%_0402","BottomLayer","RESC1005X40X25ML05T10","2499.835","-2054.642","90",""
"R289","100_1%_0402","BottomLayer","RESC1005X40X25ML05T10","2436.842","-1572.477","0",""
"R110","100_1%_0402","BottomLayer","RESC1005X40X25ML05T10","3981.498","-1278.134","270",""
"R109","2.67K_1%_0402","BottomLayer","RESC1005X40X25NL05T10","2495.843","-2516.463","0",""
"R108","2.67K_1%_0402","BottomLayer","RESC1005X40X25NL05T10","2499.835","-2402.226","0",""
"R41","2.67K_1%_0402","BottomLayer","RESC1005X40X25NL05T10","2495.843","-2478.569","180",""
"R40","2.67K_1%_0402","BottomLayer","RESC1005X40X25NL05T10","2499.835","-2437.469","180",""
"R46","0_1%_0402","TopLayer","RESC1005X40X25LL05T05","5455.609","-295.767","90","Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R45","4.7K_1%_0402","TopLayer","RESC1005X40X25NL10T10","5394.979","-284.501","0",""
"R34","4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","2876.860","-2552.274","90",""
"C285","0.1uF_50V_0402","TopLayer","FP-C1005-050-0_05-IPC_C","4724.802","-3162.476","180","Multilayer Ceramic Capacitors 100nF ±10% 50V X7R SMD 0402"
"R288","27_1%_0402","BottomLayer","RESC1005X40X25NL05T05","999.996","-2104.653","0",""
"R287","4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","978.268","-2326.229","0",""
"R286","4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","980.319","-2277.503","0",""
"R285","4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","991.596","-2230.162","0",""
"R284","DNI_4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","997.051","-2190.180","0",""
