Altium Designer Pick and Place Locations
C:\Users\julianstj\Desktop\WorkNotes\Projects\PTP\RCB_WiWi_STM32WL3\ECAD_V1\Project Outputs for RCB_WiWi_STM32WL3\Pick Place for RCB_WiWi_STM32WL3_V1(845-XXXXX_PCBA_projectname).csv

========================================================================================================================
File Design Information:

Date:       27/12/24
Time:       09:19
Revision:   Not in VersionControl
Variant:    845-XXXXX_PCBA_projectname
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"Y7","ASE-48.000MHZ-LC-T","TopLayer","FP-ASE-MFG","417.323","1287.402","90","XTAL Oscillator 48MHz ±50ppm CMOS 3.3V 4-SMD 3.2mm x 2.5mm"
"Y6","NX2012SA-32.768KHZ-EXS00A-MU00389","BottomLayer","FP-NX2012SA-MFG","631.195","1712.598","180","CRYSTAL 32.768KHZ 7PF SMD"
"Y5","ASE-48.000MHZ-LC-T","TopLayer","FP-ASE-MFG","925.197","1397.638","90","XTAL Oscillator 48MHz ±50ppm CMOS 3.3V 4-SMD 3.2mm x 2.5mm"
"Y3","NX2012SA-32.768KHZ-EXS00A-MU00389","BottomLayer","FP-NX2012SA-MFG","1031.496","1974.847","180","CRYSTAL 32.768KHZ 7PF SMD"
"U8","SN74LVC1G3157DBVR","TopLayer","FP-DBV0006A-IPC_C","349.072","1467.897","90","IC SWITCH SPDT SOT23-6"
"SW4","B3U-1000P","TopLayer","FP-B3U-1000P-MFG","118.636","2236.220","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW3","B3U-1000P","TopLayer","FP-B3U-1000P-MFG","118.110","2362.205","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R113","DNI_10K_1%_0402","TopLayer","RESC1005X40X25NL10T10","325.445","1602.362","90",""
"R112","10K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","850.394","2405.512","180",""
"R111","4.7K_1%_0402","TopLayer","RESC1005X40X25NL10T10","819.582","1446.492","270",""
"R110","4.7K_1%_0402","BottomLayer","RESC1005X40X25NL10T10","759.842","2377.953","270",""
"R109","165_1%_0402","BottomLayer","RESC1005X40X25NL05T05","382.895","1731.299","180",""
"R108","0_5%_0402","BottomLayer","RESC1005X40X25NL05T10","366.142","1674.213","270",""
"R107","0_5%_0402","BottomLayer","RESC1005X40X25NL05T10","401.575","1834.646","270",""
"R106","71.5_1%_0402","BottomLayer","RESC1005X40X25NL05T05","385.827","1775.591","180",""
"R105","165_1%_0402","BottomLayer","RESC1005X40X25NL05T05","386.474","1559.407","270",""
